,,Burst Start,Burst End,Burst Duration,Edge Event,Interburst Interval,Total Cycle Time,Peaks per Burst,Peak Amp,Peak Time,Attack,Decay,Intraburst Frequency
eL=-55.0 gnaps=1.8,0.6921001999999999,0.6921001999999999,1.6081005,0.9160003,False,2.2356008000000003,3.1516011,40,5.705276434121263,1.1845,0.49239980000000017,0.4236004999999998,43.66810796896027
eL=-55.0 gnaps=1.8,3.8437013,3.8437013,5.3638018,1.5201004999999999,False,2.5833008,4.1034013,44,5.6035412154071285,4.9299,1.0861986999999997,0.4339018000000001,28.945454593298276
eL=-55.0 gnaps=1.8,7.9471026,7.9471026,9.053303,1.1062003999999996,False,2.7041009000000003,3.8103013,39,5.654733929915499,8.6454,0.6982974000000004,0.40790299999999924,35.2558180235697
eL=-55.0 gnaps=1.8,11.7574039,11.7574039,12.866704299999999,1.1093003999999986,False,2.6723009000000015,3.7816013,39,5.6667351782687865,12.370600000000001,0.6131961000000015,0.49610429999999717,35.15729373215772
eL=-55.0 gnaps=1.8,15.5390052,15.5390052,16.5257055,0.9867003000000008,False,2.724500899999999,3.7112011999999996,38,5.67294214220438,16.1082,0.5691948,0.41750550000000075,38.5122007158607
eL=-55.0 gnaps=1.8,19.2502064,19.2502064,20.247506700000002,0.9973003000000027,False,2.7280009999999955,3.725301299999998,38,5.648275817094553,19.8347,0.5844936000000018,0.41280670000000086,38.10286630817207
eL=-55.0 gnaps=1.8,22.975507699999998,22.975507699999998,23.975208,0.9997003000000007,False,2.7286009,3.7283012000000006,38,5.594680622839181,23.942,0.9664923000000023,0.03320799999999835,38.011392014186626
eL=-55.0 gnaps=1.8,26.7038089,26.7038089,27.7039092,1.0001002999999997,False,2.7286009,3.7287011999999997,38,5.6283892857415605,27.270100000000003,0.5662911000000044,0.43380919999999534,37.996188982245094
eL=-55.0 gnaps=1.8,30.4325101,30.4325101,31.432910500000002,1.0004004000000037,False,2.7285008999999967,3.7289013000000004,38,5.661600496069161,31.021,0.5884899000000026,0.4119105000000012,37.98479088972761
eL=-55.0 gnaps=1.8,34.1614114,34.1614114,35.1618117,1.0004003000000026,False,2.728400899999997,3.7288011999999995,38,5.693304830958367,34.75,0.5885886000000013,0.4118117000000012,37.98479468668682
eL=-55.0 gnaps=1.8,37.8902126,37.8902126,38.890713000000005,1.000500400000007,False,2.7283008999999936,3.7288013000000007,38,5.696838868567117,38.479,0.5887874000000011,0.411713000000006,37.98099431044678
eL=-55.0 gnaps=1.8,41.6190139,41.6190139,42.619714200000004,1.0007003000000054,False,2.728100899999994,3.7288011999999995,38,5.6802618884489675,42.208000000000006,0.5889861000000067,0.4117141999999987,37.97340722292158
eL=-55.0 gnaps=1.8,45.3478151,45.3478151,46.3486154,1.0008003000000016,False,2.7281009999999952,3.728901299999997,38,5.642923633857057,45.937000000000005,0.5891849000000065,0.4116153999999952,37.96961291878104
eL=-55.0 gnaps=1.8,49.076716399999995,49.076716399999995,50.0776167,1.000900300000005,False,2.7279009000000016,3.7288012000000066,38,5.629382190532854,49.6439,0.567183600000007,0.43371669999999796,37.965819372818466
eL=-55.0 gnaps=1.8,52.8055176,52.8055176,53.806517899999996,1.001000299999994,False,2.7278009000000054,3.7288011999999995,38,5.601104345493238,53.3729,0.5673823999999996,0.43361789999999445,37.96202658480744
eL=-55.0 gnaps=1.8,56.5343188,56.5343188,57.5355192,1.0012004000000019,False,2.7276008999999988,3.7288013000000007,38,5.5990822016159365,57.123900000000006,0.5895812000000049,0.41161919999999697,37.95443949083513
