,,Burst Start,Burst End,Burst Duration,Edge Event,Interburst Interval,Total Cycle Time,Peaks per Burst,Peak Amp,Peak Time,Attack,Decay,Intraburst Frequency
eL=-50.0 gnaps=1.8,count,80.0,80.0,80.0,80,79.0,79.0,80.0,80.0,80.0,80.0,80.0,80.0
eL=-50.0 gnaps=1.8,mean,150.08632002874998,152.68795964375,2.6016396150000007,0.0,1.1622991240506324,3.764405051898734,66.425,5.652020673434805,152.16903625,2.0827162212500063,0.5189233937499942,25.432349055925226
eL=-50.0 gnaps=1.8,std,86.71521361507217,86.65122159032083,0.32972234319835547,0.0,0.01692452581294133,0.3148812299852837,12.745587471748795,0.03502622430085405,86.75913826749633,0.2500247323551696,0.5714469974454216,0.7960461055716584
eL=-50.0 gnaps=1.8,min,0.0295,5.5434018,2.5646008,False,1.0138004,3.7261012000000013,65.0,5.590226830335382,0.031900000000000005,0.0024000000000000063,0.09431169999999156,25.343097781975754
eL=-50.0 gnaps=1.8,25%,76.4730755,79.037876375,2.5648007999999756,0.0,1.1642003999999986,3.729001199999999,65.0,5.633454067700842,78.55165000000001,2.078566450000004,0.4678424999999997,25.343097781976034
eL=-50.0 gnaps=1.8,50%,150.12125005000001,152.6860009,2.5648008000000004,0.0,1.1642003999999986,3.729001299999993,65.0,5.654438724521819,152.20895000000002,2.096853700000011,0.4678819499999918,25.343098770087714
eL=-50.0 gnaps=1.8,75%,223.7693496,226.33412542500002,2.5648008999999945,0.0,1.164300400000002,3.7290013000000144,65.0,5.673775595261757,225.86625,2.096945925,0.4862344500000013,25.34334556061707
eL=-50.0 gnaps=1.8,max,297.41749910000004,299.9823,5.5139018,False,1.1643004000000587,6.5277022,179.0,5.846384633380243,299.5144,2.4703891000000056,5.5115018,32.46340005547433
eL=-50.0 gnaps=2.4,count,80.0,80.0,80.0,80,79.0,79.0,80.0,80.0,80.0,80.0,80.0,80.0
eL=-50.0 gnaps=2.4,mean,149.62959362625003,152.76223592125,3.132642294999998,0.0,0.624704005063293,3.758632898734177,83.6875,5.6407561987162085,152.0958525,2.4662588737500064,0.6663834212499915,26.590743388442746
eL=-50.0 gnaps=2.4,std,86.70518084487213,86.64965479629552,0.258445926509988,0.0,0.009632937151109367,0.2593727280318457,15.094297481356865,0.051106431264964995,86.7476892532284,0.31713835088504116,0.5576796363727775,1.5330759461300212
eL=-50.0 gnaps=2.4,min,0.023,5.4336018,3.0310010000000034,False,0.5545001999999997,3.7230012000000006,81.0,5.5747606008433355,0.0252,0.0022000000000000006,0.5135999999999967,25.72286599462219
eL=-50.0 gnaps=2.4,25%,76.0105753,79.112876375,3.102300999999983,0.0,0.6267001999999877,3.729001199999999,82.0,5.612279518223515,78.56875000000001,2.5174715500000033,0.544170175000005,26.431992690844886
eL=-50.0 gnaps=2.4,50%,149.65874989999998,152.7610509,3.1023010000000113,0.0,0.6267002000000161,3.7290012000000132,82.0,5.643157273065238,152.20795,2.5403128500000207,0.5619459499999877,26.431993542857285
eL=-50.0 gnaps=2.4,75%,223.306849425,226.40912550000002,3.1023011,0.0,0.626800199999991,3.7290013000000037,82.0,5.668209282096795,225.84715000000003,2.558130850000005,0.5848356749999972,26.43199354285753
eL=-50.0 gnaps=2.4,max,296.954999,299.986,5.4106018,False,0.6268003000000135,6.0342020000000005,217.0,5.9718165053808026,299.4724,2.5827980000000004,5.4084018,40.106444351532204
eL=-55.0 gnaps=1.8,count,81.0,81.0,81.0,81,80.0,80.0,81.0,81.0,81.0,81.0,81.0,81.0
eL=-55.0 gnaps=1.8,mean,150.15952165925927,150.75548605432098,0.5959643950617316,0.0,3.133716046249997,3.7296912437499996,34.01234567901235,5.728051310249186,150.3379987654321,0.1784771061728479,0.41748728888888365,57.076910869717494
eL=-55.0 gnaps=1.8,std,87.7321502503366,87.73074171235118,0.007417990393744621,0.0,0.0013503901409948106,0.00611544855446866,0.11111111111084837,0.03472236371789294,87.7363665782888,0.026017932696424457,0.03200725741613305,0.4724011949761871
eL=-55.0 gnaps=1.8,min,0.9456003,1.6075005,0.5949002000000005,False,3.1218010999999994,3.7284012000000004,34.0,5.659242804319775,0.9483,0.0026997000000000826,0.395904299999998,52.878062281896874
eL=-55.0 gnaps=1.8,25%,75.5798252,76.17492539999999,0.5951001999999992,0.0,3.1338011000000106,3.729001199999999,34.0,5.7076616178269735,75.7625,0.1578250999999966,0.3959739000000013,57.123636719208704
eL=-55.0 gnaps=1.8,50%,150.1601501,150.7553503,0.5951002000000187,0.0,3.1339009999999945,3.729001299999986,34.0,5.7281247816777565,150.3594,0.18264619999999354,0.41245399999999677,57.13323571391663
eL=-55.0 gnaps=1.8,75%,224.7404749,225.3356751,0.5952001999999936,0.0,3.133901099999978,3.7290013000000073,34.0,5.76231714704117,224.8983,0.19921889999997688,0.43732289999999807,57.13323571391851
eL=-55.0 gnaps=1.8,max,299.3208998,299.916,0.6619002,False,3.133901100000031,3.7837012999999997,35.0,5.771088934653347,299.47860000000003,0.19928850000000153,0.6592005,57.152443384621435
eL=-55.0 gnaps=2.4,count,81.0,81.0,81.0,81,80.0,80.0,81.0,81.0,81.0,81.0,81.0,81.0
eL=-55.0 gnaps=2.4,mean,149.37630534814815,150.74753913703702,1.3712337888888881,0.0,2.3596107887500013,3.7308774937499996,43.22222222222222,5.74082135007259,150.34796172839506,0.9716563802469212,0.3995774086419668,31.510598106570523
eL=-55.0 gnaps=2.4,std,87.73502301526689,87.73048533341748,0.018426014449753843,0.0,0.005684567759059086,0.013036192987746451,1.8907670401189038,0.03510450750536902,87.72288238195831,0.05503092760664319,0.05300811524208655,0.9091897217980448
eL=-55.0 gnaps=2.4,min,0.0692,1.5867004999999998,1.3608003999999996,False,2.3115008,3.7181011999999987,43.0,5.6847871066703926,1.1914,0.8248128999999835,0.03060299999999927,30.498360539834863
eL=-55.0 gnaps=2.4,25%,74.79822490000001,76.16672539999999,1.3686003999999912,0.0,2.360400799999999,3.729001199999999,43.0,5.713934794362353,75.76610000000001,0.9678563999999881,0.3854938000000061,31.418956810259836
eL=-55.0 gnaps=2.4,50%,149.3785498,150.7471502,1.3686004000000196,0.0,2.360400800000008,3.729001299999993,43.0,5.7396823647215545,150.34650000000002,0.9679303000000061,0.4006439999999998,31.418959105959512
eL=-55.0 gnaps=2.4,75%,223.9589747,225.3275751,1.3686004999999994,0.0,2.3605007999999827,3.7290013000000215,43.0,5.777404706597979,224.92690000000002,0.9831078999999932,0.40069129999994857,31.41895910595984
eL=-55.0 gnaps=2.4,max,298.5393995,299.908,1.5175005,False,2.360500800000068,3.8290013000000003,60.0,5.787769126509633,299.52250000000004,1.3301974000000003,0.5437874999999508,39.53870196418387
eL=-55.0 gnaps=3.0,count,81.0,81.0,81.0,81,80.0,80.0,81.0,81.0,81.0,81.0,81.0,81.0
eL=-55.0 gnaps=3.0,mean,148.8107384925926,150.78040087901235,1.9696623864197547,0.0,1.7541343337499988,3.72422499125,52.839506172839506,5.764592327480157,150.3296703703704,1.5189318777777865,0.45073050864196806,26.896876411831933
eL=-55.0 gnaps=3.0,std,87.72593527121906,87.7331683355873,0.061947409281781066,0.0,0.021403419111366864,0.06489801917155141,3.100228983976244,0.023396019068719284,87.75476790339005,0.17209794469182282,0.12837707125632392,2.7730786032629657
eL=-55.0 gnaps=3.0,min,0.0415,1.5974005,1.5559005,False,1.6433006000000003,3.1992011000000002,52.0,5.720318880651468,0.0437,0.0022000000000000006,0.3953042999999994,25.73388390501394
eL=-55.0 gnaps=3.0,25%,74.23832469999999,76.1737254,1.9354006000000368,0.0,1.7378005999999857,3.7069012000000328,52.0,5.747393301145659,75.7746,1.5184802000000062,0.39918999999997595,26.32493000176275
eL=-55.0 gnaps=3.0,50%,148.81874960000002,150.75415030000002,1.9453006000000004,0.0,1.7659506,3.73135125,52.0,5.767189292354705,150.35500000000002,1.5362355000000036,0.44183529999999394,26.731087216032314
eL=-55.0 gnaps=3.0,75%,223.39907449999998,225.33447510000002,2.013300700000002,0.0,1.771500599999996,3.7511012999999664,53.0,5.781836585044387,224.91750000000002,1.5545218000000318,0.45878379999996355,26.867822609954246
eL=-55.0 gnaps=3.0,max,297.97949930000004,299.91490000000005,2.0984007000000005,False,1.7892005999999991,3.8593013,80.0,5.829851278917299,299.4979,1.6722989,1.5537005,51.417169671196845
eL=-55.0 gnaps=3.6,count,81.0,81.0,81.0,81,80.0,80.0,81.0,81.0,81.0,81.0,81.0,81.0
eL=-55.0 gnaps=3.6,mean,148.44915318518517,150.76183543950617,2.3126822543209875,0.0,1.4069592175,3.71965624,61.54320987654321,5.762961092240112,150.32548271604938,1.8763295308642036,0.4363527234567838,26.746243958425104
eL=-55.0 gnaps=3.6,std,87.71883887007543,87.72985653356497,0.0884521215701651,0.0,0.029009629379178024,0.10724907806327474,3.898876064701336,0.040673131899682725,87.75828268580378,0.21287327823558136,0.13338932594473174,3.798562810332768
eL=-55.0 gnaps=3.6,min,0.031100000000000003,1.6189005,1.5878005000000002,False,1.2097004,2.7975009,61.0,5.701949720937063,0.033100000000000004,0.0020000000000000018,0.3928514999999777,25.425066390211445
eL=-55.0 gnaps=3.6,25%,73.8678246,76.1765254,2.311400699999993,0.0,1.4091503999999873,3.722476199999999,61.0,5.741314972531173,75.74390000000001,1.8842467999999997,0.4090638999999783,26.353299154400684
eL=-55.0 gnaps=3.6,50%,148.4442495,150.7550503,2.3128006999999684,0.0,1.4126505000000122,3.728901250000007,61.0,5.762483042818206,150.2208,1.902643100000006,0.41000550000000047,26.37494877963364
eL=-55.0 gnaps=3.6,75%,223.0215743,225.3339751,2.3147006999999746,0.0,1.4192754999999906,3.735201199999996,61.0,5.782274160435607,224.924,1.9061617000000126,0.4312067000000006,26.390923910337218
eL=-55.0 gnaps=3.6,max,297.6035992,299.9151,2.5172009,False,1.4312004999999601,3.9100013,96.0,6.054578481718976,299.4832,2.0743991000000004,1.5858005000000002,60.460996201978766
eL=-55.0 gnaps=4.2,count,81.0,81.0,81.0,81,80.0,80.0,81.0,81.0,81.0,81.0,81.0,81.0
eL=-55.0 gnaps=4.2,mean,148.20242718024693,150.76949840493828,2.567071224691359,0.0,1.1496528849999987,3.71660248875,70.51851851851852,5.751493959952913,149.90682222222225,1.704395041975319,0.8626761827160403,27.66151408608575
