,,Burst Start,Burst End,Burst Duration,Edge Event,Interburst Interval,Total Cycle Time,Peaks per Burst,Peak Amp,Peak Time,Attack,Decay,Intraburst Frequency
-55.0eL 1.8gnaps,count,226.0,226.0,226.0,226,225.0,225.0,226.0,226.0,226.0,226.0,226.0,226.0
-55.0eL 1.8gnaps,mean,420.096899568584,421.11096207787614,1.0140625092920383,0.0,2.7116029902222194,3.728547555111111,37.94690265486726,5.6468435245721755,420.71012920354,0.6132296349557717,0.4008328743362667,37.37761420559625
-55.0eL 1.8gnaps,std,243.81706682017966,243.8179823377386,0.05907949632406135,0.0,0.03616121029324365,0.047022396044594954,2.3183929605161073,0.030618175144877448,243.81619881355425,0.07681502049263705,0.06527500543317301,1.9707980430940253
-55.0eL 1.8gnaps,min,0.6921001,1.6081002,0.36559999999997217,False,2.2356002999999998,3.1516003999999995,4.0,5.519286850322766,1.1845,0.15359999999998308,0.029678799999942385,10.940919037199958
-55.0eL 1.8gnaps,25%,210.34872502499996,211.35465012499998,1.0057251750000233,0.0,2.7123004000000037,3.728800499999977,38.0,5.627206853426184,210.94475,0.5945294000000061,0.39413069999997674,37.398810451132896
-55.0eL 1.8gnaps,50%,420.09669999999994,421.10870015,1.0111001500000043,0.0,2.716500300000007,3.7289003999999863,38.0,5.648622835522582,420.70050000000003,0.6057924499999956,0.4083474499999795,37.57910871676292
-55.0eL 1.8gnaps,75%,629.847249975,630.8637250999999,1.01597510000002,0.0,2.722500299999979,3.728900500000009,38.0,5.670751269951618,630.4566500000001,0.6169899250000128,0.41088864999998975,37.77992821060446
-55.0eL 1.8gnaps,max,839.6153,839.9809,1.5201000999999996,False,2.7286003,4.103400400000001,44.0,5.7043286392702175,839.7689,1.0861995000000002,0.5374898999999687,43.66811750348062
-55.0eL 2.4gnaps,count,226.0,226.0,226.0,226,225.0,225.0,226.0,226.0,226.0,226.0,226.0,226.0
-55.0eL 2.4gnaps,mean,419.2667215946902,421.13030588628305,1.8635842915929188,0.0,1.8611584448888907,3.7275946662222217,49.28761061946903,5.6564938128085585,420.69928672566357,1.432565130973471,0.4310191606194476,26.44164048729019
-55.0eL 2.4gnaps,std,243.8198399658198,243.8313404071486,0.06230219253089186,0.0,0.03282138718663662,0.05000937968628617,2.6585754830021617,0.029300933975807592,243.82703762133912,0.09729366399267962,0.08153341202886395,1.4736716932231717
-55.0eL 2.4gnaps,min,0.0691,1.6030001999999999,1.2219001000000844,False,1.5280002000000001,3.0619004,14.0,5.566622541869432,0.32320000000000004,0.25410000000000005,0.030344599999978072,11.457565147919238
-55.0eL 2.4gnaps,25%,209.51004992499998,211.35675020000002,1.8449002250000017,0.0,1.8383002000000488,3.7289003999999863,49.0,5.636249934330956,210.9433,1.4259337750000753,0.40376604999999444,26.251194967963826
-55.0eL 2.4gnaps,50%,419.2703499,421.14600015,1.8467002000000434,0.0,1.8733001999999033,3.7290003999999612,49.0,5.662785143433284,420.70210000000003,1.434926550000057,0.42037284999997837,26.533813487056015
-55.0eL 2.4gnaps,75%,629.024774875,630.8826251,1.904550200000017,0.0,1.882400199999978,3.7344004999999925,50.0,5.678975189877648,630.462975,1.4442165999999972,0.45615137499999037,26.559341286566614
-55.0eL 2.4gnaps,max,838.7778999,839.9998,2.2187002000000002,False,1.8858001999999985,4.012100500000001,65.0,5.7499932295118965,839.8665000000001,1.8164015000000973,1.2798002,42.375638258603786
-55.0eL 3.0gnaps,count,226.0,226.0,226.0,226,225.0,225.0,226.0,226.0,226.0,226.0,226.0,226.0
-55.0eL 3.0gnaps,mean,418.78656666991145,421.13986783495585,2.3533011650442477,0.0,1.3691806075555555,3.7255493324444444,60.38495575221239,5.659785625922985,420.68697964601785,1.900412976106212,0.4528881889380353,25.684739097116775
-55.0eL 3.0gnaps,std,243.81623722832677,243.8320882878251,0.07700203251090058,0.0,0.03195919971309189,0.0741125455293409,3.0663107398939267,0.0341800361999396,243.82393023981186,0.15548361506963132,0.10262194096416652,1.9969236354250541
-55.0eL 3.0gnaps,min,0.0415,1.6419002,1.6004002,False,1.0582000999999999,2.6586003,23.0,5.57829287586361,0.0437,0.0022000000000000006,0.031532999999967615,13.829593670905185
-55.0eL 3.0gnaps,25%,209.0268749,211.36385019999997,2.336000224999964,0.0,1.34590019999996,3.7287003999999797,60.0,5.633988522852501,210.94855,1.9012201000000033,0.41726359999999474,25.512334866763805
-55.0eL 3.0gnaps,50%,418.78569985,421.15025015,2.3374002999999988,0.0,1.3844001000000503,3.7290003999999897,60.0,5.66075825852035,420.68595000000005,1.9159906000000717,0.4553916499999673,25.669544065687006
-55.0eL 3.0gnaps,75%,628.5433248,630.9468251,2.391000299999945,0.0,1.3917002000000025,3.7319003999999723,61.0,5.685817748585881,630.4471000000001,1.921463100000011,0.47576100000000565,25.68492903291606
-55.0eL 3.0gnaps,max,838.2900998,839.9531999999999,2.6585003,False,1.416000200000001,3.9903005,85.0,5.885418704827527,839.2513,2.304767200000015,1.5982002,53.111715432177526
-55.0eL 3.6gnaps,count,226.0,226.0,226.0,226,225.0,225.0,226.0,226.0,226.0,226.0,226.0,226.0
-55.0eL 3.6gnaps,mean,418.48195158982315,421.1471536765487,2.665202086725664,0.0,1.0560819039999996,3.724223999111111,70.97787610619469,5.663927261976397,420.67137964601767,2.1894280561947093,0.4757740305309549,26.6756551363753
-55.0eL 3.6gnaps,std,243.80554977087516,243.8002432859441,0.08254099704535199,0.0,0.024501411167836235,0.09024967743343419,3.276101599652937,0.03759890439010858,243.83565402210087,0.1888416113570224,0.15367848815777135,2.341472989966363
-55.0eL 3.6gnaps,min,0.031,1.7083001999999998,1.6773002,False,0.7226001,2.3999002999999997,33.0,5.590185376287904,0.033100000000000004,0.0021000000000000046,0.40239999999994325,16.469529723059157
-55.0eL 3.6gnaps,25%,208.729924825,211.4070252,2.665800300000001,0.0,1.053800100000018,3.728800499999977,71.0,5.642478397066142,210.936225,2.20170717500001,0.43732999999998867,26.542548504099603
-55.0eL 3.6gnaps,50%,418.4761998,421.14545015,2.668750350000039,0.0,1.060000099999968,3.728900400000043,71.0,5.66773993855415,420.69725000000005,2.2146018000000254,0.45261899999997013,26.604710416439005
-55.0eL 3.6gnaps,75%,628.2267247999999,630.8928501,2.675150325000004,0.0,1.0631001000000424,3.729000400000018,71.0,5.684765332793396,630.46065,2.230598425000025,0.4762275500000044,26.633652940919834
-55.0eL 3.6gnaps,max,837.9813998,839.9851,2.9436003000000004,False,1.0947001000000007,3.9750005000000006,101.0,6.066417598373588,839.5827,2.234808699999917,2.3647006,60.21581586885878
-55.0eL 4.2gnaps,count,226.0,226.0,226.0,226,225.0,225.0,226.0,226.0,226.0,226.0,226.0,226.0
-55.0eL 4.2gnaps,mean,418.27375643141596,421.15956252743354,2.8858060960177006,0.0,0.8345716546666648,3.7233213320000003,80.92477876106194,5.667975972000272,420.6774199115045,2.403663480088516,0.48214261592918506,28.10703372116123
