Parameter,,,,
Table Analyzed,all models/meas,,,
,,,,
Two-way ANOVA,,,,
,,,,
Source of Variation,% of total variation,P value,,
model/measure,eL=-55.0 gnaps=1.8,eL=-55.0 gnaps=4.2,Difference,95% CI of diff.
  Burst Duration: TB,0.5960,2.567,1.971,0.1136 to 3.829
  Burst Duration: Yan,1.012,2.888,1.876,0.01819 to 3.733
  Interburst Interval: TB,3.134,1.150,-1.984,-3.853 to -0.1150
  Interburst Interval: Yan,2.716,0.8258,-1.890,-3.759 to -0.02089
  Intraburst Frequency: TB,57.08,27.66,-29.42,-31.27 to -27.56
  Intraburst Frequency: Yan,37.74,28.35,-9.392,-11.25 to -7.535
  Peaks per Burst: TB,34.01,70.52,36.51,34.65 to 38.36
  Peaks per Burst: Yan,38.12,81.27,43.15,41.29 to 45.01
  Total Cycle Time: TB,3.730,3.717,-0.01309,-1.882 to 1.856
  Total Cycle Time: Yan,3.728,3.713,-0.01450,-1.884 to 1.855
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,1.971,4.317,P<0.001,***
  Burst Duration: Yan,1.876,4.108,P<0.001,***
  Interburst Interval: TB,-1.984,4.319,P<0.001,***
  Interburst Interval: Yan,-1.890,4.114,P<0.001,***
  Intraburst Frequency: TB,-29.42,64.43,P<0.001,***
  Intraburst Frequency: Yan,-9.392,20.57,P<0.001,***
  Peaks per Burst: TB,36.51,79.96,P<0.001,***
  Peaks per Burst: Yan,43.15,94.51,P<0.001,***
  Total Cycle Time: TB,-0.01309,0.02849,P > 0.05,ns
  Total Cycle Time: Yan,-0.01450,0.03156,P > 0.05,ns
,,,,
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=1.8,,,,
model/measure,eL=-55.0 gnaps=1.8,eL=-60.0 gnaps=1.8,Difference,95% CI of diff.
  Burst Duration: TB,0.5960,0.3859,-0.2100,-2.068 to 1.648
  Burst Duration: Yan,1.012,0.3877,-0.6242,-2.482 to 1.233
  Interburst Interval: TB,3.134,3.343,0.2091,-1.660 to 2.078
  Interburst Interval: Yan,2.716,3.341,0.6252,-1.244 to 2.494
  Intraburst Frequency: TB,57.08,74.66,17.58,15.72 to 19.44
  Intraburst Frequency: Yan,37.74,74.54,36.80,34.94 to 38.65
  Peaks per Burst: TB,34.01,28.83,-5.185,-7.043 to -3.328
  Peaks per Burst: Yan,38.12,28.90,-9.222,-11.08 to -7.365
  Total Cycle Time: TB,3.730,3.729,-0.0009041,-1.870 to 1.868
  Total Cycle Time: Yan,3.728,3.729,0.0008860,-1.868 to 1.870
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-0.2100,0.4600,P > 0.05,ns
  Burst Duration: Yan,-0.6242,1.367,P > 0.05,ns
  Interburst Interval: TB,0.2091,0.4552,P > 0.05,ns
  Interburst Interval: Yan,0.6252,1.361,P > 0.05,ns
  Intraburst Frequency: TB,17.58,38.51,P<0.001,***
  Intraburst Frequency: Yan,36.80,80.59,P<0.001,***
  Peaks per Burst: TB,-5.185,11.36,P<0.001,***
  Peaks per Burst: Yan,-9.222,20.20,P<0.001,***
  Total Cycle Time: TB,-0.0009041,0.001968,P > 0.05,ns
  Total Cycle Time: Yan,0.0008860,0.001928,P > 0.05,ns
,,,,
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=2.4,,,,
model/measure,eL=-55.0 gnaps=1.8,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  Burst Duration: TB,0.5960,0.4720,-0.1239,-1.981 to 1.734
  Burst Duration: Yan,1.012,0.6454,-0.3665,-2.224 to 1.491
  Interburst Interval: TB,3.134,3.256,0.1220,-1.747 to 1.991
  Interburst Interval: Yan,2.716,3.080,0.3644,-1.505 to 2.234
  Intraburst Frequency: TB,57.08,78.03,20.95,19.09 to 22.81
  Intraburst Frequency: Yan,37.74,58.91,21.16,19.31 to 23.02
  Peaks per Burst: TB,34.01,36.84,2.827,0.9696 to 4.685
  Peaks per Burst: Yan,38.12,37.95,-0.1728,-2.030 to 1.685
  Total Cycle Time: TB,3.730,3.728,-0.001922,-1.871 to 1.867
  Total Cycle Time: Yan,3.728,3.726,-0.002099,-1.871 to 1.867
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-0.1239,0.2715,P > 0.05,ns
  Burst Duration: Yan,-0.3665,0.8027,P > 0.05,ns
  Interburst Interval: TB,0.1220,0.2657,P > 0.05,ns
  Interburst Interval: Yan,0.3644,0.7933,P > 0.05,ns
  Intraburst Frequency: TB,20.95,45.89,P<0.001,***
  Intraburst Frequency: Yan,21.16,46.35,P<0.001,***
  Peaks per Burst: TB,2.827,6.192,P<0.001,***
  Peaks per Burst: Yan,-0.1728,0.3786,P > 0.05,ns
  Total Cycle Time: TB,-0.001922,0.004184,P > 0.05,ns
  Total Cycle Time: Yan,-0.002099,0.004569,P > 0.05,ns
,,,,
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=3.0,,,,
model/measure,eL=-55.0 gnaps=1.8,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  Burst Duration: TB,0.5960,0.8476,0.2516,-1.606 to 2.109
  Burst Duration: Yan,1.012,1.269,0.2569,-1.601 to 2.114
  Interburst Interval: TB,3.134,2.876,-0.2575,-2.127 to 1.612
  Interburst Interval: Yan,2.716,2.451,-0.2649,-2.134 to 1.604
  Intraburst Frequency: TB,57.08,58.91,1.836,-0.02192 to 3.693
  Intraburst Frequency: Yan,37.74,37.26,-0.4813,-2.339 to 1.376
