Parameter,,,,
Table Analyzed,all models/meas,,,
,,,,
Two-way ANOVA,,,,
,,,,
Source of Variation,% of total variation,P value,,
  Peaks per Burst: TB,43.22,70.52,27.30,25.44 to 29.15
  Peaks per Burst: Yan,49.31,81.27,31.96,30.11 to 33.82
  Total Cycle Time: TB,3.731,3.717,-0.01427,-1.883 to 1.855
  Total Cycle Time: Yan,3.725,3.713,-0.01184,-1.881 to 1.857
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,1.196,2.619,P > 0.05,ns
  Burst Duration: Yan,1.039,2.276,P > 0.05,ns
  Interburst Interval: TB,-1.210,2.634,P > 0.05,ns
  Interburst Interval: Yan,-1.051,2.288,P > 0.05,ns
  Intraburst Frequency: TB,-3.849,8.431,P<0.001,***
  Intraburst Frequency: Yan,1.636,3.583,P<0.01,**
  Peaks per Burst: TB,27.30,59.79,P<0.001,***
  Peaks per Burst: Yan,31.96,70.01,P<0.001,***
  Total Cycle Time: TB,-0.01427,0.03107,P > 0.05,ns
  Total Cycle Time: Yan,-0.01184,0.02577,P > 0.05,ns
,,,,
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=1.8,,,,
model/measure,eL=-55.0 gnaps=2.4,eL=-60.0 gnaps=1.8,Difference,95% CI of diff.
  Burst Duration: TB,1.371,0.3859,-0.9853,-2.843 to 0.8723
  Burst Duration: Yan,1.848,0.3877,-1.461,-3.318 to 0.3969
  Interburst Interval: TB,2.360,3.343,0.9832,-0.8859 to 2.852
  Interburst Interval: Yan,1.877,3.341,1.464,-0.4049 to 3.333
  Intraburst Frequency: TB,31.51,74.66,43.15,41.29 to 45.01
  Intraburst Frequency: Yan,26.72,74.54,47.82,45.97 to 49.68
  Peaks per Burst: TB,43.22,28.83,-14.40,-16.25 to -12.54
  Peaks per Burst: Yan,49.31,28.90,-20.41,-22.26 to -18.55
  Total Cycle Time: TB,3.731,3.729,-0.002090,-1.871 to 1.867
  Total Cycle Time: Yan,3.725,3.729,0.003547,-1.866 to 1.873
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-0.9853,2.158,P > 0.05,ns
  Burst Duration: Yan,-1.461,3.199,P < 0.05,*
  Interburst Interval: TB,0.9832,2.140,P > 0.05,ns
  Interburst Interval: Yan,1.464,3.187,P < 0.05,*
  Intraburst Frequency: TB,43.15,94.51,P<0.001,***
  Intraburst Frequency: Yan,47.82,104.7,P<0.001,***
  Peaks per Burst: TB,-14.40,31.53,P<0.001,***
  Peaks per Burst: Yan,-20.41,44.70,P<0.001,***
  Total Cycle Time: TB,-0.002090,0.004549,P > 0.05,ns
  Total Cycle Time: Yan,0.003547,0.007721,P > 0.05,ns
,,,,
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=2.4,,,,
model/measure,eL=-55.0 gnaps=2.4,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  Burst Duration: TB,1.371,0.4720,-0.8992,-2.757 to 0.9583
  Burst Duration: Yan,1.848,0.6454,-1.203,-3.060 to 0.6547
  Interburst Interval: TB,2.360,3.256,0.8962,-0.9730 to 2.765
  Interburst Interval: Yan,1.877,3.080,1.203,-0.6656 to 3.073
  Intraburst Frequency: TB,31.51,78.03,46.52,44.66 to 48.38
  Intraburst Frequency: Yan,26.72,58.91,32.19,30.33 to 34.05
  Peaks per Burst: TB,43.22,36.84,-6.383,-8.240 to -4.525
  Peaks per Burst: Yan,49.31,37.95,-11.36,-13.22 to -9.500
  Total Cycle Time: TB,3.731,3.728,-0.003108,-1.872 to 1.866
  Total Cycle Time: Yan,3.725,3.726,0.0005620,-1.869 to 1.870
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-0.8992,1.970,P > 0.05,ns
  Burst Duration: Yan,-1.203,2.635,P > 0.05,ns
  Interburst Interval: TB,0.8962,1.951,P > 0.05,ns
  Interburst Interval: Yan,1.203,2.620,P > 0.05,ns
  Intraburst Frequency: TB,46.52,101.9,P<0.001,***
  Intraburst Frequency: Yan,32.19,70.51,P<0.001,***
  Peaks per Burst: TB,-6.383,13.98,P<0.001,***
  Peaks per Burst: Yan,-11.36,24.88,P<0.001,***
  Total Cycle Time: TB,-0.003108,0.006765,P > 0.05,ns
  Total Cycle Time: Yan,0.0005620,0.001223,P > 0.05,ns
,,,,
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=3.0,,,,
model/measure,eL=-55.0 gnaps=2.4,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  Burst Duration: TB,1.371,0.8476,-0.5237,-2.381 to 1.334
  Burst Duration: Yan,1.848,1.269,-0.5795,-2.437 to 1.278
  Interburst Interval: TB,2.360,2.876,0.5166,-1.353 to 2.386
  Interburst Interval: Yan,1.877,2.451,0.5741,-1.295 to 2.443
  Intraburst Frequency: TB,31.51,58.91,27.40,25.54 to 29.26
  Intraburst Frequency: Yan,26.72,37.26,10.55,8.690 to 12.40
  Peaks per Burst: TB,43.22,49.81,6.593,4.735 to 8.450
  Peaks per Burst: Yan,49.31,46.99,-2.321,-4.179 to -0.4634
  Total Cycle Time: TB,3.731,3.724,-0.007183,-1.876 to 1.862
  Total Cycle Time: Yan,3.725,3.720,-0.005524,-1.875 to 1.864
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-0.5237,1.147,P > 0.05,ns
  Burst Duration: Yan,-0.5795,1.269,P > 0.05,ns
  Interburst Interval: TB,0.5166,1.124,P > 0.05,ns
  Interburst Interval: Yan,0.5741,1.250,P > 0.05,ns
  Intraburst Frequency: TB,27.40,60.02,P<0.001,***
  Intraburst Frequency: Yan,10.55,23.10,P<0.001,***
  Peaks per Burst: TB,6.593,14.44,P<0.001,***
  Peaks per Burst: Yan,-2.321,5.084,P<0.001,***
  Total Cycle Time: TB,-0.007183,0.01563,P > 0.05,ns
  Total Cycle Time: Yan,-0.005524,0.01202,P > 0.05,ns
,,,,
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=3.6,,,,
model/measure,eL=-55.0 gnaps=2.4,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  Burst Duration: TB,1.371,1.356,-0.01482,-1.872 to 1.843
  Burst Duration: Yan,1.848,1.776,-0.07197,-1.930 to 1.786
  Interburst Interval: TB,2.360,2.367,0.007422,-1.862 to 1.877
  Interburst Interval: Yan,1.877,1.944,0.06711,-1.802 to 1.936
  Intraburst Frequency: TB,31.51,42.76,11.25,9.396 to 13.11
  Intraburst Frequency: Yan,26.72,30.44,3.728,1.870 to 5.585
  Peaks per Burst: TB,43.22,57.93,14.70,12.85 to 16.56
  Peaks per Burst: Yan,49.31,53.85,4.543,2.686 to 6.401
  Total Cycle Time: TB,3.731,3.723,-0.007490,-1.877 to 1.862
  Total Cycle Time: Yan,3.725,3.720,-0.005178,-1.874 to 1.864
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-0.01482,0.03245,P > 0.05,ns
  Burst Duration: Yan,-0.07197,0.1576,P > 0.05,ns
  Interburst Interval: TB,0.007422,0.01616,P > 0.05,ns
  Interburst Interval: Yan,0.06711,0.1461,P > 0.05,ns
  Intraburst Frequency: TB,11.25,24.65,P<0.001,***
  Intraburst Frequency: Yan,3.728,8.165,P<0.001,***
  Peaks per Burst: TB,14.70,32.20,P<0.001,***
  Peaks per Burst: Yan,4.543,9.951,P<0.001,***
  Total Cycle Time: TB,-0.007490,0.01630,P > 0.05,ns
  Total Cycle Time: Yan,-0.005178,0.01127,P > 0.05,ns
,,,,
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=4.2,,,,
model/measure,eL=-55.0 gnaps=2.4,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  Burst Duration: TB,1.371,0.5957,-0.7755,-2.386 to 0.8348
  Burst Duration: Yan,1.848,2.089,0.2405,-1.617 to 2.098
  Interburst Interval: TB,2.360,1.274,-1.085,-2.704 to 0.5332
  Interburst Interval: Yan,1.877,1.632,-0.2445,-2.114 to 1.625
  Intraburst Frequency: TB,31.51,55.65,24.14,22.53 to 25.75
  Intraburst Frequency: Yan,26.72,28.91,2.193,0.3359 to 4.051
  Peaks per Burst: TB,43.22,32.20,-11.02,-12.63 to -9.413
  Peaks per Burst: Yan,49.31,60.23,10.93,9.068 to 12.78
  Total Cycle Time: TB,3.731,1.870,-1.861,-3.479 to -0.2420
  Total Cycle Time: Yan,3.725,3.721,-0.004094,-1.873 to 1.865
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-0.7755,1.959,P > 0.05,ns
  Burst Duration: Yan,0.2405,0.5268,P > 0.05,ns
  Interburst Interval: TB,-1.085,2.728,P > 0.05,ns
  Interburst Interval: Yan,-0.2445,0.5322,P > 0.05,ns
  Intraburst Frequency: TB,24.14,60.99,P<0.001,***
  Intraburst Frequency: Yan,2.193,4.804,P<0.001,***
  Peaks per Burst: TB,-11.02,27.85,P<0.001,***
  Peaks per Burst: Yan,10.93,23.93,P<0.001,***
  Total Cycle Time: TB,-1.861,4.677,P<0.001,***
  Total Cycle Time: Yan,-0.004094,0.008912,P > 0.05,ns
,,,,
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=1.8,,,,
model/measure,eL=-55.0 gnaps=2.4,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  Burst Duration: TB,1.371,0.3226,-1.049,-2.906 to 0.8089
  Burst Duration: Yan,1.848,0.3442,-1.504,-3.362 to 0.3535
  Interburst Interval: TB,2.360,3.406,1.047,-0.8226 to 2.916
  Interburst Interval: Yan,1.877,3.384,1.508,-0.3614 to 3.377
  Intraburst Frequency: TB,31.51,76.47,44.96,43.10 to 46.82
  Intraburst Frequency: Yan,26.72,74.72,48.01,46.15 to 49.86
  Peaks per Burst: TB,43.22,24.73,-18.49,-20.35 to -16.64
  Peaks per Burst: Yan,49.31,25.77,-23.54,-25.40 to -21.69
  Total Cycle Time: TB,3.731,3.729,-0.002177,-1.871 to 1.867
  Total Cycle Time: Yan,3.725,3.729,0.003636,-1.865 to 1.873
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-1.049,2.297,P > 0.05,ns
  Burst Duration: Yan,-1.504,3.294,P<0.01,**
  Interburst Interval: TB,1.047,2.278,P > 0.05,ns
  Interburst Interval: Yan,1.508,3.282,P < 0.05,*
  Intraburst Frequency: TB,44.96,98.48,P<0.001,***
  Intraburst Frequency: Yan,48.01,105.1,P<0.001,***
  Peaks per Burst: TB,-18.49,40.51,P<0.001,***
  Peaks per Burst: Yan,-23.54,51.57,P<0.001,***
  Total Cycle Time: TB,-0.002177,0.004739,P > 0.05,ns
  Total Cycle Time: Yan,0.003636,0.007914,P > 0.05,ns
,,,,
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=2.4,,,,
model/measure,eL=-55.0 gnaps=2.4,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  Burst Duration: TB,1.371,0.3720,-0.9992,-2.857 to 0.8583
  Burst Duration: Yan,1.848,0.3965,-1.452,-3.309 to 0.4058
  Interburst Interval: TB,2.360,3.357,0.9972,-0.8719 to 2.866
  Interburst Interval: Yan,1.877,3.332,1.455,-0.4137 to 3.325
  Intraburst Frequency: TB,31.51,90.60,59.09,57.23 to 60.95
  Intraburst Frequency: Yan,26.72,85.15,58.43,56.57 to 60.29
  Peaks per Burst: TB,43.22,33.74,-9.481,-11.34 to -7.624
  Peaks per Burst: Yan,49.31,33.79,-15.52,-17.38 to -13.66
  Total Cycle Time: TB,3.731,3.729,-0.002097,-1.871 to 1.867
  Total Cycle Time: Yan,3.725,3.729,0.003632,-1.865 to 1.873
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-0.9992,2.189,P > 0.05,ns
  Burst Duration: Yan,-1.452,3.180,P < 0.05,*
  Interburst Interval: TB,0.9972,2.171,P > 0.05,ns
  Interburst Interval: Yan,1.455,3.168,P < 0.05,*
  Intraburst Frequency: TB,59.09,129.4,P<0.001,***
  Intraburst Frequency: Yan,58.43,128.0,P<0.001,***
  Peaks per Burst: TB,-9.481,20.77,P<0.001,***
  Peaks per Burst: Yan,-15.52,33.99,P<0.001,***
  Total Cycle Time: TB,-0.002097,0.004564,P > 0.05,ns
  Total Cycle Time: Yan,0.003632,0.007905,P > 0.05,ns
,,,,
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=3.0,,,,
model/measure,eL=-55.0 gnaps=2.4,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  Burst Duration: TB,1.371,0.4263,-0.9449,-2.802 to 0.9126
  Burst Duration: Yan,1.848,0.4546,-1.394,-3.251 to 0.4638
  Interburst Interval: TB,2.360,3.302,0.9428,-0.9263 to 2.812
  Interburst Interval: Yan,1.877,3.274,1.397,-0.4723 to 3.266
  Intraburst Frequency: TB,31.51,97.89,66.38,64.52 to 68.23
  Intraburst Frequency: Yan,26.72,91.92,65.20,63.35 to 67.06
  Peaks per Burst: TB,43.22,41.75,-1.469,-3.327 to 0.3884
  Peaks per Burst: Yan,49.31,41.80,-7.506,-9.364 to -5.649
  Total Cycle Time: TB,3.731,3.729,-0.002141,-1.871 to 1.867
  Total Cycle Time: Yan,3.725,3.728,0.003011,-1.866 to 1.872
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-0.9449,2.070,P > 0.05,ns
  Burst Duration: Yan,-1.394,3.053,P < 0.05,*
  Interburst Interval: TB,0.9428,2.052,P > 0.05,ns
  Interburst Interval: Yan,1.397,3.040,P < 0.05,*
  Intraburst Frequency: TB,66.38,145.4,P<0.001,***
  Intraburst Frequency: Yan,65.20,142.8,P<0.001,***
  Peaks per Burst: TB,-1.469,3.218,P < 0.05,*
  Peaks per Burst: Yan,-7.506,16.44,P<0.001,***
  Total Cycle Time: TB,-0.002141,0.004660,P > 0.05,ns
  Total Cycle Time: Yan,0.003011,0.006554,P > 0.05,ns
,,,,
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=3.6,,,,
model/measure,eL=-55.0 gnaps=2.4,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  Burst Duration: TB,1.371,0.5028,-0.8684,-2.726 to 0.9891
  Burst Duration: Yan,1.848,0.6621,-1.186,-3.044 to 0.6713
  Interburst Interval: TB,2.360,3.226,0.8661,-1.003 to 2.735
  Interburst Interval: Yan,1.877,3.064,1.187,-0.6822 to 3.056
  Intraburst Frequency: TB,31.51,99.97,68.46,66.61 to 70.32
  Intraburst Frequency: Yan,26.72,83.34,56.63,54.77 to 58.49
  Peaks per Burst: TB,43.22,50.23,7.012,5.155 to 8.870
  Peaks per Burst: Yan,49.31,55.12,5.815,3.957 to 7.672
  Total Cycle Time: TB,3.731,3.728,-0.002542,-1.872 to 1.867
  Total Cycle Time: Yan,3.725,3.725,0.0004110,-1.869 to 1.870
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-0.8684,1.902,P > 0.05,ns
  Burst Duration: Yan,-1.186,2.598,P > 0.05,ns
  Interburst Interval: TB,0.8661,1.885,P > 0.05,ns
  Interburst Interval: Yan,1.187,2.584,P > 0.05,ns
  Intraburst Frequency: TB,68.46,150.0,P<0.001,***
  Intraburst Frequency: Yan,56.63,124.0,P<0.001,***
  Peaks per Burst: TB,7.012,15.36,P<0.001,***
  Peaks per Burst: Yan,5.815,12.74,P<0.001,***
  Total Cycle Time: TB,-0.002542,0.005533,P > 0.05,ns
  Total Cycle Time: Yan,0.0004110,0.0008947,P > 0.05,ns
,,,,
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=4.2,,,,
model/measure,eL=-55.0 gnaps=2.4,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  Burst Duration: TB,1.371,0.6209,-0.7504,-2.608 to 1.107
  Burst Duration: Yan,1.848,0.9662,-0.8821,-2.740 to 0.9755
  Interburst Interval: TB,2.360,3.106,0.7463,-1.123 to 2.615
  Interburst Interval: Yan,1.877,2.755,0.8785,-0.9907 to 2.748
  Intraburst Frequency: TB,31.51,100.9,69.39,67.54 to 71.25
  Intraburst Frequency: Yan,26.72,70.30,43.58,41.73 to 45.44
  Peaks per Burst: TB,43.22,62.67,19.44,17.59 to 21.30
  Peaks per Burst: Yan,49.31,67.79,18.48,16.62 to 20.34
  Total Cycle Time: TB,3.731,3.727,-0.004180,-1.873 to 1.865
  Total Cycle Time: Yan,3.725,3.721,-0.003733,-1.873 to 1.865
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-0.7504,1.643,P > 0.05,ns
  Burst Duration: Yan,-0.8821,1.932,P > 0.05,ns
  Interburst Interval: TB,0.7463,1.624,P > 0.05,ns
  Interburst Interval: Yan,0.8785,1.912,P > 0.05,ns
  Intraburst Frequency: TB,69.39,152.0,P<0.001,***
  Intraburst Frequency: Yan,43.58,95.46,P<0.001,***
  Peaks per Burst: TB,19.44,42.59,P<0.001,***
  Peaks per Burst: Yan,18.48,40.48,P<0.001,***
  Total Cycle Time: TB,-0.004180,0.009098,P > 0.05,ns
  Total Cycle Time: Yan,-0.003733,0.008126,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.0 vs eL=-55.0 gnaps=3.6,,,,
model/measure,eL=-55.0 gnaps=3.0,eL=-55.0 gnaps=3.6,Difference,95% CI of diff.
  Burst Duration: TB,1.970,2.313,0.3430,-1.515 to 2.201
  Burst Duration: Yan,2.332,2.670,0.3376,-1.520 to 2.195
  Interburst Interval: TB,1.754,1.407,-0.3472,-2.216 to 1.522
  Interburst Interval: Yan,1.387,1.046,-0.3412,-2.210 to 1.528
  Intraburst Frequency: TB,26.90,26.75,-0.1506,-2.008 to 1.707
  Intraburst Frequency: Yan,26.01,26.90,0.8884,-0.9691 to 2.746
  Peaks per Burst: TB,52.84,61.54,8.704,6.846 to 10.56
  Peaks per Burst: Yan,60.42,71.41,10.99,9.130 to 12.85
  Total Cycle Time: TB,3.724,3.720,-0.004569,-1.874 to 1.865
  Total Cycle Time: Yan,3.719,3.716,-0.003644,-1.873 to 1.865
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,0.3430,0.7513,P > 0.05,ns
  Burst Duration: Yan,0.3376,0.7394,P > 0.05,ns
  Interburst Interval: TB,-0.3472,0.7557,P > 0.05,ns
  Interburst Interval: Yan,-0.3412,0.7428,P > 0.05,ns
  Intraburst Frequency: TB,-0.1506,0.3299,P > 0.05,ns
  Intraburst Frequency: Yan,0.8884,1.946,P > 0.05,ns
  Peaks per Burst: TB,8.704,19.06,P<0.001,***
  Peaks per Burst: Yan,10.99,24.07,P<0.001,***
  Total Cycle Time: TB,-0.004569,0.009945,P > 0.05,ns
  Total Cycle Time: Yan,-0.003644,0.007932,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.0 vs eL=-55.0 gnaps=4.2,,,,
model/measure,eL=-55.0 gnaps=3.0,eL=-55.0 gnaps=4.2,Difference,95% CI of diff.
  Burst Duration: TB,1.970,2.567,0.5974,-1.260 to 2.455
  Burst Duration: Yan,2.332,2.888,0.5554,-1.302 to 2.413
  Interburst Interval: TB,1.754,1.150,-0.6045,-2.474 to 1.265
  Interburst Interval: Yan,1.387,0.8258,-0.5614,-2.430 to 1.308
  Intraburst Frequency: TB,26.90,27.66,0.7646,-1.093 to 2.622
  Intraburst Frequency: Yan,26.01,28.35,2.339,0.4811 to 4.196
  Peaks per Burst: TB,52.84,70.52,17.68,15.82 to 19.54
  Peaks per Burst: Yan,60.42,81.27,20.85,18.99 to 22.71
  Total Cycle Time: TB,3.724,3.717,-0.007622,-1.877 to 1.861
  Total Cycle Time: Yan,3.719,3.713,-0.006155,-1.875 to 1.863
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,0.5974,1.308,P > 0.05,ns
  Burst Duration: Yan,0.5554,1.216,P > 0.05,ns
  Interburst Interval: TB,-0.6045,1.316,P > 0.05,ns
  Interburst Interval: Yan,-0.5614,1.222,P > 0.05,ns
  Intraburst Frequency: TB,0.7646,1.675,P > 0.05,ns
  Intraburst Frequency: Yan,2.339,5.122,P<0.001,***
  Peaks per Burst: TB,17.68,38.72,P<0.001,***
  Peaks per Burst: Yan,20.85,45.67,P<0.001,***
  Total Cycle Time: TB,-0.007622,0.01659,P > 0.05,ns
  Total Cycle Time: Yan,-0.006155,0.01340,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=1.8,,,,
model/measure,eL=-55.0 gnaps=3.0,eL=-60.0 gnaps=1.8,Difference,95% CI of diff.
  Burst Duration: TB,1.970,0.3859,-1.584,-3.441 to 0.2738
  Burst Duration: Yan,2.332,0.3877,-1.945,-3.802 to -0.08705
  Interburst Interval: TB,1.754,3.343,1.589,-0.2804 to 3.458
  Interburst Interval: Yan,1.387,3.341,1.954,0.08466 to 3.823
  Intraburst Frequency: TB,26.90,74.66,47.76,45.90 to 49.62
  Intraburst Frequency: Yan,26.01,74.54,48.53,46.67 to 50.38
  Peaks per Burst: TB,52.84,28.83,-24.01,-25.87 to -22.15
  Peaks per Burst: Yan,60.42,28.90,-31.52,-33.38 to -29.66
  Total Cycle Time: TB,3.724,3.729,0.004562,-1.865 to 1.874
  Total Cycle Time: Yan,3.719,3.729,0.009230,-1.860 to 1.878
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-1.584,3.469,P<0.01,**
  Burst Duration: Yan,-1.945,4.259,P<0.001,***
  Interburst Interval: TB,1.589,3.458,P<0.01,**
  Interburst Interval: Yan,1.954,4.253,P<0.001,***
  Intraburst Frequency: TB,47.76,104.6,P<0.001,***
  Intraburst Frequency: Yan,48.53,106.3,P<0.001,***
  Peaks per Burst: TB,-24.01,52.59,P<0.001,***
  Peaks per Burst: Yan,-31.52,69.03,P<0.001,***
  Total Cycle Time: TB,0.004562,0.009930,P > 0.05,ns
  Total Cycle Time: Yan,0.009230,0.02009,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=2.4,,,,
model/measure,eL=-55.0 gnaps=3.0,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  Burst Duration: TB,1.970,0.4720,-1.498,-3.355 to 0.3599
  Burst Duration: Yan,2.332,0.6454,-1.687,-3.544 to 0.1707
  Interburst Interval: TB,1.754,3.256,1.502,-0.3675 to 3.371
  Interburst Interval: Yan,1.387,3.080,1.693,-0.1760 to 3.562
  Intraburst Frequency: TB,26.90,78.03,51.13,49.27 to 52.99
  Intraburst Frequency: Yan,26.01,58.91,32.89,31.04 to 34.75
  Peaks per Burst: TB,52.84,36.84,-16.00,-17.86 to -14.14
  Peaks per Burst: Yan,60.42,37.95,-22.47,-24.33 to -20.61
  Total Cycle Time: TB,3.724,3.728,0.003544,-1.866 to 1.873
  Total Cycle Time: Yan,3.719,3.726,0.006245,-1.863 to 1.875
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-1.498,3.280,P < 0.05,*
  Burst Duration: Yan,-1.687,3.695,P<0.01,**
  Interburst Interval: TB,1.502,3.269,P < 0.05,*
  Interburst Interval: Yan,1.693,3.685,P<0.01,**
  Intraburst Frequency: TB,51.13,112.0,P<0.001,***
  Intraburst Frequency: Yan,32.89,72.05,P<0.001,***
  Peaks per Burst: TB,-16.00,35.04,P<0.001,***
  Peaks per Burst: Yan,-22.47,49.21,P<0.001,***
  Total Cycle Time: TB,0.003544,0.007714,P > 0.05,ns
  Total Cycle Time: Yan,0.006245,0.01359,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=3.0,,,,
model/measure,eL=-55.0 gnaps=3.0,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  Burst Duration: TB,1.970,0.8476,-1.122,-2.980 to 0.7355
  Burst Duration: Yan,2.332,1.269,-1.064,-2.921 to 0.7940
  Interburst Interval: TB,1.754,2.876,1.122,-0.7471 to 2.991
  Interburst Interval: Yan,1.387,2.451,1.064,-0.8054 to 2.933
  Intraburst Frequency: TB,26.90,58.91,32.02,30.16 to 33.87
  Intraburst Frequency: Yan,26.01,37.26,11.25,9.392 to 13.11
  Peaks per Burst: TB,52.84,49.81,-3.025,-4.882 to -1.167
  Peaks per Burst: Yan,60.42,46.99,-13.43,-15.29 to -11.57
  Total Cycle Time: TB,3.724,3.724,-0.0005310,-1.870 to 1.869
  Total Cycle Time: Yan,3.719,3.720,0.0001590,-1.869 to 1.869
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-1.122,2.458,P > 0.05,ns
  Burst Duration: Yan,-1.064,2.329,P > 0.05,ns
  Interburst Interval: TB,1.122,2.442,P > 0.05,ns
  Interburst Interval: Yan,1.064,2.315,P > 0.05,ns
  Intraburst Frequency: TB,32.02,70.12,P<0.001,***
  Intraburst Frequency: Yan,11.25,24.64,P<0.001,***
  Peaks per Burst: TB,-3.025,6.625,P<0.001,***
  Peaks per Burst: Yan,-13.43,29.42,P<0.001,***
  Total Cycle Time: TB,-0.0005310,0.001156,P > 0.05,ns
  Total Cycle Time: Yan,0.0001590,0.0003461,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=3.6,,,,
model/measure,eL=-55.0 gnaps=3.0,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  Burst Duration: TB,1.970,1.356,-0.6132,-2.471 to 1.244
  Burst Duration: Yan,2.332,1.776,-0.5560,-2.413 to 1.302
  Interburst Interval: TB,1.754,2.367,0.6129,-1.256 to 2.482
  Interburst Interval: Yan,1.387,1.944,0.5567,-1.312 to 2.426
  Intraburst Frequency: TB,26.90,42.76,15.87,14.01 to 17.72
  Intraburst Frequency: Yan,26.01,30.44,4.430,2.573 to 6.288
  Peaks per Burst: TB,52.84,57.93,5.086,3.229 to 6.944
  Peaks per Burst: Yan,60.42,53.85,-6.568,-8.425 to -4.710
  Total Cycle Time: TB,3.724,3.723,-0.0008380,-1.870 to 1.868
  Total Cycle Time: Yan,3.719,3.720,0.0005052,-1.869 to 1.870
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-0.6132,1.343,P > 0.05,ns
  Burst Duration: Yan,-0.5560,1.218,P > 0.05,ns
  Interburst Interval: TB,0.6129,1.334,P > 0.05,ns
  Interburst Interval: Yan,0.5567,1.212,P > 0.05,ns
  Intraburst Frequency: TB,15.87,34.75,P<0.001,***
  Intraburst Frequency: Yan,4.430,9.704,P<0.001,***
  Peaks per Burst: TB,5.086,11.14,P<0.001,***
  Peaks per Burst: Yan,-6.568,14.39,P<0.001,***
  Total Cycle Time: TB,-0.0008380,0.001824,P > 0.05,ns
  Total Cycle Time: Yan,0.0005052,0.001100,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=4.2,,,,
model/measure,eL=-55.0 gnaps=3.0,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  Burst Duration: TB,1.970,0.5957,-1.374,-2.984 to 0.2364
  Burst Duration: Yan,2.332,2.089,-0.2435,-2.101 to 1.614
  Interburst Interval: TB,1.754,1.274,-0.4800,-2.099 to 1.139
  Interburst Interval: Yan,1.387,1.632,0.2451,-1.624 to 2.114
  Intraburst Frequency: TB,26.90,55.65,28.75,27.14 to 30.36
  Intraburst Frequency: Yan,26.01,28.91,2.896,1.039 to 4.754
  Peaks per Burst: TB,52.84,32.20,-20.64,-22.25 to -19.03
  Peaks per Burst: Yan,60.42,60.23,-0.1852,-2.043 to 1.672
  Total Cycle Time: TB,3.724,1.870,-1.854,-3.473 to -0.2353
  Total Cycle Time: Yan,3.719,3.721,0.001589,-1.868 to 1.871
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-1.374,3.471,P<0.01,**
  Burst Duration: Yan,-0.2435,0.5333,P > 0.05,ns
