,TB,Yan
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=1.8,15.19,30.61
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=2.4,10.16,25.29
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=3.0,4.648,19.40
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=3.6,3.127,1.690
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=4.2,15.13,32.60
eL=-60.0 gnaps=3.0 vs eL=-60.0 gnaps=3.6,51.71,51.58
eL=-60.0 gnaps=3.0 vs eL=-60.0 gnaps=4.2,29.52,83.34
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=1.8,53.35,93.96
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=2.4,48.33,88.64
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=3.0,42.81,82.75
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=3.6,35.04,61.66
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=4.2,23.04,30.75
eL=-60.0 gnaps=3.6 vs eL=-60.0 gnaps=4.2,89.17,31.76
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=1.8,105.1,145.5
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=2.4,100.0,140.2
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=3.0,94.53,134.3
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=3.6,86.75,113.2
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=4.2,74.75,82.33
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=1.8,32.02,177.3
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=2.4,26.23,172.0
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=3.0,19.86,166.1
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=3.6,10.90,145.0
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=4.2,2.946,114.1
eL=-65.0 gnaps=1.8 vs eL=-65.0 gnaps=2.4,5.023,5.315
eL=-65.0 gnaps=1.8 vs eL=-65.0 gnaps=3.0,10.54,11.21
eL=-65.0 gnaps=1.8 vs eL=-65.0 gnaps=3.6,18.31,32.30
eL=-65.0 gnaps=1.8 vs eL=-65.0 gnaps=4.2,30.31,63.21
eL=-65.0 gnaps=2.4 vs eL=-65.0 gnaps=3.0,5.515,5.896
eL=-65.0 gnaps=2.4 vs eL=-65.0 gnaps=3.6,13.29,26.98
eL=-65.0 gnaps=2.4 vs eL=-65.0 gnaps=4.2,25.29,57.90
eL=-65.0 gnaps=3.0 vs eL=-65.0 gnaps=3.6,7.775,21.09
eL=-65.0 gnaps=3.0 vs eL=-65.0 gnaps=4.2,19.77,52.00
eL=-65.0 gnaps=3.6 vs eL=-65.0 gnaps=4.2,12.00,30.91
