,TB,Yan
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=2.4,33.86,45.86
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=3.0,16.08,33.47
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=3.6,4.958,24.06
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=4.2,46.40,15.31
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=1.8,50.46,62.56
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=2.4,38.11,51.56
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=3.0,27.13,40.58
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=3.6,15.50,22.32
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=4.2,1.540,4.958
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=1.8,57.15,71.78
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=2.4,46.16,59.38
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=3.0,28.38,46.99
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=3.6,17.26,37.58
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=4.2,60.59,28.84
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=1.8,62.76,76.08
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=2.4,50.41,65.08
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=3.0,39.43,54.10
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=3.6,27.80,35.84
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=4.2,10.76,18.48
eL=-60.0 gnaps=1.8 vs eL=-60.0 gnaps=2.4,10.98,12.40
eL=-60.0 gnaps=1.8 vs eL=-60.0 gnaps=3.0,28.77,24.79
eL=-60.0 gnaps=1.8 vs eL=-60.0 gnaps=3.6,39.89,34.20
eL=-60.0 gnaps=1.8 vs eL=-60.0 gnaps=4.2,5.331,42.95
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=1.8,5.618,4.298
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=2.4,6.735,6.701
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=3.0,17.72,17.68
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=3.6,29.34,35.94
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=4.2,46.38,53.30
eL=-60.0 gnaps=2.4 vs eL=-60.0 gnaps=3.0,17.79,12.39
eL=-60.0 gnaps=2.4 vs eL=-60.0 gnaps=3.6,28.90,21.80
eL=-60.0 gnaps=2.4 vs eL=-60.0 gnaps=4.2,7.338,30.54
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=1.8,16.60,16.70
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=2.4,4.247,5.703
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=3.0,6.735,5.280
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=3.6,18.36,23.54
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=4.2,35.40,40.90
eL=-60.0 gnaps=3.0 vs eL=-60.0 gnaps=3.6,11.12,9.409
eL=-60.0 gnaps=3.0 vs eL=-60.0 gnaps=4.2,27.85,18.16
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=1.8,34.39,29.09
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=2.4,22.03,18.09
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=3.0,11.05,7.107
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=3.6,0.5754,11.15
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=4.2,17.62,28.51
eL=-60.0 gnaps=3.6 vs eL=-60.0 gnaps=4.2,40.68,8.749
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=1.8,45.50,38.50
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=2.4,33.15,27.50
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=3.0,22.17,16.52
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=3.6,10.54,1.743
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=4.2,6.498,19.11
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=1.8,11.81,47.25
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=2.4,2.438,36.25
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=3.0,15.11,25.26
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=3.6,28.52,7.006
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=4.2,48.17,10.36
eL=-65.0 gnaps=1.8 vs eL=-65.0 gnaps=2.4,12.35,11.00
eL=-65.0 gnaps=1.8 vs eL=-65.0 gnaps=3.0,23.34,21.98
eL=-65.0 gnaps=1.8 vs eL=-65.0 gnaps=3.6,34.96,40.24
eL=-65.0 gnaps=1.8 vs eL=-65.0 gnaps=4.2,52.00,57.60
eL=-65.0 gnaps=2.4 vs eL=-65.0 gnaps=3.0,10.98,10.98
eL=-65.0 gnaps=2.4 vs eL=-65.0 gnaps=3.6,22.61,29.24
eL=-65.0 gnaps=2.4 vs eL=-65.0 gnaps=4.2,39.65,46.60
eL=-65.0 gnaps=3.0 vs eL=-65.0 gnaps=3.6,11.63,18.26
eL=-65.0 gnaps=3.0 vs eL=-65.0 gnaps=4.2,28.67,35.62
eL=-65.0 gnaps=3.6 vs eL=-65.0 gnaps=4.2,17.04,17.36
