,TB,Yan
eL=-50.0 gnaps=4.2 vs eL=-55.0 gnaps=3.0,8.023,7.893
eL=-50.0 gnaps=4.2 vs eL=-55.0 gnaps=3.6,6.391,6.276
eL=-50.0 gnaps=4.2 vs eL=-55.0 gnaps=4.2,5.197,4.914
eL=-50.0 gnaps=4.2 vs eL=-60.0 gnaps=1.8,16.52,15.26
eL=-50.0 gnaps=4.2 vs eL=-60.0 gnaps=2.4,13.09,12.05
eL=-50.0 gnaps=4.2 vs eL=-60.0 gnaps=3.0,10.63,8.491
eL=-50.0 gnaps=4.2 vs eL=-60.0 gnaps=3.6,9.188,6.879
eL=-50.0 gnaps=4.2 vs eL=-60.0 gnaps=4.2,8.050,5.872
eL=-50.0 gnaps=4.2 vs eL=-65.0 gnaps=1.8,18.07,17.41
eL=-50.0 gnaps=4.2 vs eL=-65.0 gnaps=2.4,14.51,13.16
eL=-50.0 gnaps=4.2 vs eL=-65.0 gnaps=3.0,11.95,10.53
eL=-50.0 gnaps=4.2 vs eL=-65.0 gnaps=3.6,8.913,8.400
eL=-50.0 gnaps=4.2 vs eL=-65.0 gnaps=4.2,6.838,6.045
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=2.4,3.248,3.204
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=3.0,5.528,5.615
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=3.6,7.208,7.265
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=4.2,8.393,8.612
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=1.8,3.994,2.460
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=2.4,0.03776,1.137
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=3.0,2.707,4.976
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=3.6,4.286,6.649
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=4.2,5.499,7.668
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=1.8,5.815,4.928
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=2.4,1.662,0.1012
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=3.0,1.245,2.806
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=3.6,4.571,5.073
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=4.2,6.739,7.485
eL=-55.0 gnaps=2.4 vs eL=-55.0 gnaps=3.0,2.308,2.438
eL=-55.0 gnaps=2.4 vs eL=-55.0 gnaps=3.6,4.025,4.122
eL=-55.0 gnaps=2.4 vs eL=-55.0 gnaps=4.2,5.247,5.506
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=1.8,7.195,5.644
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=2.4,3.284,2.069
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=3.0,0.5420,1.792
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=3.6,1.049,3.492
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=4.2,2.278,4.535
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=1.8,8.983,8.078
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=2.4,4.895,3.304
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=3.0,2.006,0.3971
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=3.6,1.338,1.890
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=4.2,3.546,4.348
eL=-55.0 gnaps=3.0 vs eL=-55.0 gnaps=3.6,1.730,1.695
eL=-55.0 gnaps=3.0 vs eL=-55.0 gnaps=4.2,2.968,3.097
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=1.8,9.411,8.021
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=2.4,5.562,4.492
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=3.0,2.845,0.6461
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=3.6,1.260,1.061
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=4.2,0.02919,2.113
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=1.8,11.16,10.41
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=2.4,7.151,5.713
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=3.0,4.298,2.831
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=3.6,0.9696,0.5481
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=4.2,1.248,1.926
eL=-55.0 gnaps=3.6 vs eL=-55.0 gnaps=4.2,1.244,1.408
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=1.8,11.03,9.637
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=2.4,7.240,6.154
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=3.0,4.556,2.338
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=3.6,2.984,0.6343
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=4.2,1.759,0.4188
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=1.8,12.74,11.99
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=2.4,8.805,7.361
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=3.0,5.993,4.510
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=3.6,2.694,2.240
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=4.2,0.4806,0.2324
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=1.8,12.16,10.95
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=2.4,8.424,7.515
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=3.0,5.771,3.734
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=3.6,4.214,2.040
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=4.2,2.997,0.9896
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=1.8,13.85,13.27
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=2.4,9.967,8.706
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=3.0,7.192,5.888
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=3.6,3.925,3.637
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=4.2,1.723,1.175
eL=-60.0 gnaps=1.8 vs eL=-60.0 gnaps=2.4,3.955,3.592
eL=-60.0 gnaps=1.8 vs eL=-60.0 gnaps=3.0,6.663,7.391
eL=-60.0 gnaps=1.8 vs eL=-60.0 gnaps=3.6,8.206,9.033
