,TB,Yan
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=2.4,59.92,37.40
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=3.0,37.58,12.11
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=3.6,18.71,4.138
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=4.2,38.95,2.346
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=1.8,58.10,55.87
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=2.4,74.61,68.05
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=3.0,83.12,75.97
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=3.6,85.56,65.95
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=4.2,86.65,50.71
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=1.8,54.91,53.97
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=2.4,58.85,35.70
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=3.0,36.51,10.41
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=3.6,17.65,2.444
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=4.2,37.72,0.6513
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=1.8,57.03,54.18
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=2.4,73.54,66.36
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=3.0,82.05,74.27
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=3.6,84.49,64.25
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=4.2,85.58,49.01
eL=-60.0 gnaps=1.8 vs eL=-60.0 gnaps=2.4,3.937,18.26
eL=-60.0 gnaps=1.8 vs eL=-60.0 gnaps=3.0,18.40,43.55
eL=-60.0 gnaps=1.8 vs eL=-60.0 gnaps=3.6,37.27,51.52
eL=-60.0 gnaps=1.8 vs eL=-60.0 gnaps=4.2,25.62,53.31
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=1.8,2.118,0.2122
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=2.4,18.63,12.39
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=3.0,27.14,20.31
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=3.6,29.58,10.29
