,TB,Yan
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=2.4,82.74,91.04
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=3.0,65.75,62.87
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=3.6,42.96,40.18
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=4.2,6.862,26.24
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=1.8,89.47,104.7
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=2.4,87.26,102.3
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=3.0,84.83,99.69
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=3.6,81.39,90.30
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=4.2,76.03,76.49
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=1.8,98.15,112.6
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=2.4,94.25,100.9
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=3.0,77.26,72.73
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=3.6,54.48,50.04
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=4.2,6.434,36.09
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=1.8,101.0,114.5
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=2.4,98.77,112.2
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=3.0,96.34,109.5
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=3.6,92.91,100.1
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=4.2,87.54,86.34
eL=-60.0 gnaps=1.8 vs eL=-60.0 gnaps=2.4,3.897,11.67
eL=-60.0 gnaps=1.8 vs eL=-60.0 gnaps=3.0,20.88,39.83
eL=-60.0 gnaps=1.8 vs eL=-60.0 gnaps=3.6,43.67,62.52
eL=-60.0 gnaps=1.8 vs eL=-60.0 gnaps=4.2,106.9,76.46
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=1.8,2.832,1.948
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=2.4,0.6232,0.3918
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=3.0,1.808,3.016
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=3.6,5.242,12.41
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=4.2,10.61,26.21
eL=-60.0 gnaps=2.4 vs eL=-60.0 gnaps=3.0,16.99,28.16
eL=-60.0 gnaps=2.4 vs eL=-60.0 gnaps=3.6,39.77,50.85
eL=-60.0 gnaps=2.4 vs eL=-60.0 gnaps=4.2,102.4,64.80
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=1.8,6.729,13.62
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=2.4,4.520,11.28
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=3.0,2.090,8.651
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=3.6,1.345,0.7396
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=4.2,6.708,14.54
eL=-60.0 gnaps=3.0 vs eL=-60.0 gnaps=3.6,22.78,22.69
eL=-60.0 gnaps=3.0 vs eL=-60.0 gnaps=4.2,82.78,36.63
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=1.8,23.72,41.78
