,TB,Yan
eL=-50.0 gnaps=4.2 vs eL=-55.0 gnaps=3.0,0.2242,2.618
eL=-50.0 gnaps=4.2 vs eL=-55.0 gnaps=3.6,2.687,6.080
eL=-50.0 gnaps=4.2 vs eL=-55.0 gnaps=4.2,5.026,8.597
eL=-50.0 gnaps=4.2 vs eL=-60.0 gnaps=1.8,5.711,8.380
eL=-50.0 gnaps=4.2 vs eL=-60.0 gnaps=2.4,0.5613,17.49
eL=-50.0 gnaps=4.2 vs eL=-60.0 gnaps=3.0,9.395,12.86
eL=-50.0 gnaps=4.2 vs eL=-60.0 gnaps=3.6,13.54,22.86
eL=-50.0 gnaps=4.2 vs eL=-60.0 gnaps=4.2,17.59,12.55
eL=-50.0 gnaps=4.2 vs eL=-65.0 gnaps=1.8,0.9810,0.1109
eL=-50.0 gnaps=4.2 vs eL=-65.0 gnaps=2.4,49.45,67.64
eL=-50.0 gnaps=4.2 vs eL=-65.0 gnaps=3.0,82.06,154.1
eL=-50.0 gnaps=4.2 vs eL=-65.0 gnaps=3.6,31.97,226.0
eL=-50.0 gnaps=4.2 vs eL=-65.0 gnaps=4.2,14.30,213.3
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=2.4,3.998,4.191
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=3.0,7.110,7.651
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=3.6,9.411,10.29
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=4.2,11.16,12.13
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=1.8,1.415,1.894
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=2.4,6.119,8.524
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=3.0,14.06,15.32
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=3.6,17.20,22.63
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=4.2,20.14,15.00
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=1.8,5.082,4.831
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=2.4,33.30,48.87
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=3.0,57.02,113.9
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=3.6,16.60,164.4
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=4.2,17.69,149.2
eL=-55.0 gnaps=2.4 vs eL=-55.0 gnaps=3.0,3.169,3.517
eL=-55.0 gnaps=2.4 vs eL=-55.0 gnaps=3.6,5.537,6.241
eL=-55.0 gnaps=2.4 vs eL=-55.0 gnaps=4.2,7.359,8.140
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=1.8,2.191,5.989
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=2.4,2.504,13.32
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=3.0,10.81,11.77
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=3.6,14.10,19.54
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=4.2,17.22,11.28
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=1.8,1.784,1.253
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=2.4,39.09,55.87
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=3.0,64.83,125.6
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=3.6,22.24,180.6
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=4.2,14.53,165.5
eL=-55.0 gnaps=3.0 vs eL=-55.0 gnaps=3.6,2.386,2.759
eL=-55.0 gnaps=3.0 vs eL=-55.0 gnaps=4.2,4.239,4.678
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=1.8,4.959,9.334
