,TB,Yan,TB real p,Yan real p,TB p_lessthan_alpha,Yan p_lessthan_alpha
eL-55.0 gnaps2.4 vs eL-60.0 gnaps2.4,0.119,0.02151,0.90545225064721,0.9828705864986371,False,False
eL-55.0 gnaps2.4 vs eL-60.0 gnaps3.0,0.275,0.2115,0.7837366633851484,0.8328160869337837,False,False
eL-55.0 gnaps2.4 vs eL-60.0 gnaps3.6,0.2867,0.1982,0.7747815788156804,0.84318673843717,False,False
eL-55.0 gnaps2.4 vs eL-60.0 gnaps4.2,82.24,0.1567,3.327642944898518e-117,0.8757153893189091,True,False
eL-55.0 gnaps2.4 vs eL-65.0 gnaps1.8,0.08333,0.1392,0.9337125813736766,0.8894995526643124,False,False
eL-55.0 gnaps2.4 vs eL-65.0 gnaps2.4,0.08027,0.139,0.9361413903869789,0.8896572896200338,False,False
eL-55.0 gnaps2.4 vs eL-65.0 gnaps3.0,0.08196,0.1153,0.9347999135658664,0.9083786609684521,False,False
eL-55.0 gnaps2.4 vs eL-65.0 gnaps3.6,0.09731,0.01573,0.9226245366747322,0.9874730166475032,False,False
eL-55.0 gnaps2.4 vs eL-65.0 gnaps4.2,0.16,0.1429,0.8731202251508986,0.8865822233751728,False,False
eL-55.0 gnaps3.0 vs eL-55.0 gnaps3.6,0.1749,0.1395,0.8614202485639368,0.8892629555262309,False,False
eL-55.0 gnaps3.0 vs eL-55.0 gnaps4.2,0.2918,0.2356,0.770887462589238,0.8141001052815134,False,False
eL-55.0 gnaps3.0 vs eL-60.0 gnaps1.8,0.1746,0.3533,0.8616555245278176,0.7244146336314774,False,False
eL-55.0 gnaps3.0 vs eL-60.0 gnaps2.4,0.1357,0.2391,0.8922605824449356,0.8113906460862232,False,False
eL-55.0 gnaps3.0 vs eL-60.0 gnaps3.0,0.02032,0.006087,0.9838181036142218,0.9951522923634276,False,False
eL-55.0 gnaps3.0 vs eL-60.0 gnaps3.6,0.03208,0.01934,0.9744556331659182,0.9845984292179373,False,False
eL-55.0 gnaps3.0 vs eL-60.0 gnaps4.2,81.95,0.06083,5.311395796172923e-117,0.9515845597063831,True,False
