,TB,Yan,TB real p,Yan real p,TB p_lessthan_alpha,Yan p_lessthan_alpha
eL-50.0 gnaps3.0 vs eL-60.0 gnaps4.2,7.024,4.034,3.78398426989088e-11,7.953090398853178e-05,True,True
eL-50.0 gnaps3.0 vs eL-65.0 gnaps1.8,17.25,15.9,1.1468904110343278e-40,1.0803224670107111e-36,True,True
eL-50.0 gnaps3.0 vs eL-65.0 gnaps2.4,13.61,11.53,7.539966496521076e-30,1.2382609820960729e-23,True,True
eL-50.0 gnaps3.0 vs eL-65.0 gnaps3.0,11.0,8.808,4.527940290890331e-22,8.139539124652765e-16,True,True
eL-50.0 gnaps3.0 vs eL-65.0 gnaps3.6,7.905,6.623,2.1649954442490802e-13,3.554458704074072e-10,True,True
eL-50.0 gnaps3.0 vs eL-65.0 gnaps4.2,5.792,4.213,2.8593409478862193e-08,3.898440004833013e-05,True,True
eL-50.0 gnaps3.6 vs eL-50.0 gnaps4.2,0.4872,0.8016,0.626681187291857,0.42379103518465155,False,False
eL-50.0 gnaps3.6 vs eL-55.0 gnaps1.8,12.66,12.4,5.319669334522524e-27,3.188078928155868e-26,True,True
eL-50.0 gnaps3.6 vs eL-55.0 gnaps2.4,9.727,9.451,2.1872040194899513e-18,1.3219976031470335e-17,True,True
eL-50.0 gnaps3.6 vs eL-55.0 gnaps3.0,7.577,7.143,1.5347952774244484e-12,1.9194052436975662e-11,True,True
eL-50.0 gnaps3.6 vs eL-55.0 gnaps3.6,5.931,5.508,1.4082069881133172e-08,1.1746067476933802e-07,True,True
eL-50.0 gnaps3.6 vs eL-55.0 gnaps4.2,4.729,4.133,4.402841555995879e-06,5.376664661767838e-05,True,True
eL-50.0 gnaps3.6 vs eL-60.0 gnaps1.8,16.15,14.6,1.963811142940284e-37,8.108394625020411e-33,True,True
eL-50.0 gnaps3.6 vs eL-60.0 gnaps2.4,12.69,11.35,4.325911649102163e-27,4.2184052134424203e-23,True,True
eL-50.0 gnaps3.6 vs eL-60.0 gnaps3.0,10.21,7.749,9.039966197900846e-20,5.523308585990015e-13,True,True
eL-50.0 gnaps3.6 vs eL-60.0 gnaps3.6,8.752,6.118,1.1592340345474812e-15,5.340394372646815e-09,True,True
eL-50.0 gnaps3.6 vs eL-60.0 gnaps4.2,7.603,5.1,1.3160561299115028e-12,8.220395270465386e-07,True,True
eL-50.0 gnaps3.6 vs eL-65.0 gnaps1.8,17.72,16.78,4.916913854812902e-42,2.7285416386141158e-39,True,True
eL-50.0 gnaps3.6 vs eL-65.0 gnaps2.4,14.12,12.48,2.2246149949507142e-31,1.8382061413350194e-26,True,True
eL-50.0 gnaps3.6 vs eL-65.0 gnaps3.0,11.54,9.808,1.1566385938051005e-23,1.2859659306467473e-18,True,True
eL-50.0 gnaps3.6 vs eL-65.0 gnaps3.6,8.475,7.657,6.5753564441441375e-15,9.554796580271165e-13,True,True
eL-50.0 gnaps3.6 vs eL-65.0 gnaps4.2,6.382,5.276,1.3163908320616768e-09,3.595962276027209e-07,True,True
eL-50.0 gnaps4.2 vs eL-55.0 gnaps1.8,13.06,13.08,3.3684482899674967e-28,2.9339918606949583e-28,True,True
eL-50.0 gnaps4.2 vs eL-55.0 gnaps2.4,10.15,10.17,1.3461665849709544e-19,1.178924021133149e-19,True,True
eL-50.0 gnaps4.2 vs eL-55.0 gnaps3.0,8.023,7.893,1.0598574238855584e-13,2.327460831695423e-13,True,True
eL-50.0 gnaps4.2 vs eL-55.0 gnaps3.6,6.391,6.276,1.2542277241527717e-09,2.3198947759575635e-09,True,True
eL-50.0 gnaps4.2 vs eL-55.0 gnaps4.2,5.197,4.914,5.224297783809344e-07,1.92814708349828e-06,True,True
eL-50.0 gnaps4.2 vs eL-60.0 gnaps1.8,16.52,15.26,1.587730216631822e-38,8.646373387916996e-35,True,True
eL-50.0 gnaps4.2 vs eL-60.0 gnaps2.4,13.09,12.05,2.7382436041769932e-28,3.531550945979609e-25,True,True
eL-50.0 gnaps4.2 vs eL-60.0 gnaps3.0,10.63,8.491,5.473739433086718e-21,5.951903439971321e-15,True,True
eL-50.0 gnaps4.2 vs eL-60.0 gnaps3.6,9.188,6.879,7.221957290581387e-17,8.579066226764601e-11,True,True
eL-50.0 gnaps4.2 vs eL-60.0 gnaps4.2,8.05,5.872,8.994288315953154e-14,1.904590418952901e-08,True,True
eL-50.0 gnaps4.2 vs eL-65.0 gnaps1.8,18.07,17.41,4.775774764269229e-43,3.916350964596841e-41,True,True
eL-50.0 gnaps4.2 vs eL-65.0 gnaps2.4,14.51,13.16,1.5080461349347196e-32,1.6886556409414615e-28,True,True
eL-50.0 gnaps4.2 vs eL-65.0 gnaps3.0,11.95,10.53,7.010682191828459e-25,1.0699544183140028e-20,True,True
eL-50.0 gnaps4.2 vs eL-65.0 gnaps3.6,8.913,8.4,4.1842786035607763e-16,1.047739425653467e-14,True,True
eL-50.0 gnaps4.2 vs eL-65.0 gnaps4.2,6.838,6.045,1.0794563235083053e-10,7.815109875962741e-09,True,True
eL-55.0 gnaps1.8 vs eL-55.0 gnaps2.4,3.248,3.204,0.0013753202119594894,0.0015909143813448942,False,False
eL-55.0 gnaps1.8 vs eL-55.0 gnaps3.0,5.528,5.615,1.0649937211218228e-07,6.93562475389173e-08,True,True
eL-55.0 gnaps1.8 vs eL-55.0 gnaps3.6,7.208,7.265,1.3213652160444912e-11,9.510227885986045e-12,True,True
eL-55.0 gnaps1.8 vs eL-55.0 gnaps4.2,8.393,8.612,1.0942044435259847e-14,2.794941813270265e-15,True,True
eL-55.0 gnaps1.8 vs eL-60.0 gnaps1.8,3.994,2.46,9.297351296397652e-05,0.014792286527152974,True,False
