,TB,Yan,TB real p,Yan real p,TB p_lessthan_alpha,Yan p_lessthan_alpha
eL-55.0 gnaps2.4 vs eL-55.0 gnaps4.2,4.497,1.911,1.4704113236461617e-05,0.05812446132857859,True,False
eL-55.0 gnaps2.4 vs eL-60.0 gnaps1.8,50.41,55.88,1.938278865836419e-89,3.328004915678697e-95,True,True
eL-55.0 gnaps2.4 vs eL-60.0 gnaps2.4,54.35,37.61,1.2052695623082191e-93,2.0645710110647006e-73,True,True
eL-55.0 gnaps2.4 vs eL-60.0 gnaps3.0,32.02,12.32,6.33785805222565e-65,7.657633053663572e-24,True,True
eL-55.0 gnaps2.4 vs eL-60.0 gnaps3.6,13.15,4.355,6.117247432382002e-26,2.6110849452186128e-05,True,True
eL-55.0 gnaps2.4 vs eL-60.0 gnaps4.2,32.53,2.563,9.571971744441121e-66,0.011473053556111801,True,False
eL-55.0 gnaps2.4 vs eL-65.0 gnaps1.8,52.53,56.09,9.738769546683858e-92,2.0477559707089216e-95,True,True
eL-55.0 gnaps2.4 vs eL-65.0 gnaps2.4,69.04,68.27,3.4844648924759595e-107,1.5188974993486094e-106,True,True
eL-55.0 gnaps2.4 vs eL-65.0 gnaps3.0,77.55,76.18,7.833079088365638e-114,8.236977567798201e-113,True,True
eL-55.0 gnaps2.4 vs eL-65.0 gnaps3.6,79.99,66.16,1.306368436424342e-115,9.314017438672785e-105,True,True
eL-55.0 gnaps2.4 vs eL-65.0 gnaps4.2,81.08,50.92,2.180686155659583e-116,5.327345804522661e-90,True,True
eL-55.0 gnaps3.0 vs eL-55.0 gnaps3.6,0.176,1.038,0.8605576765599701,0.30112565345823417,False,False
eL-55.0 gnaps3.0 vs eL-55.0 gnaps4.2,0.8934,2.732,0.37323286860255755,0.007137395863103486,False,False
eL-55.0 gnaps3.0 vs eL-60.0 gnaps1.8,55.8,56.7,4.006087358168996e-95,5.043541815810263e-96,True,True
eL-55.0 gnaps3.0 vs eL-60.0 gnaps2.4,59.74,38.43,5.717390465520734e-99,1.4372087985665043e-74,True,True
eL-55.0 gnaps3.0 vs eL-60.0 gnaps3.0,37.41,13.14,3.983546845327905e-73,6.482411881696694e-26,True,True
eL-55.0 gnaps3.0 vs eL-60.0 gnaps3.6,18.54,5.176,6.280320749770296e-39,8.03213640895822e-07,True,True
eL-55.0 gnaps3.0 vs eL-60.0 gnaps4.2,38.75,3.384,5.14586217662356e-75,0.000935410354900806,True,False
eL-55.0 gnaps3.0 vs eL-65.0 gnaps1.8,57.92,56.91,3.18801159225799e-97,3.1234167604794303e-96,True,True
eL-55.0 gnaps3.0 vs eL-65.0 gnaps2.4,74.43,69.09,1.7654599651297304e-111,3.1684762015645e-107,True,True
eL-55.0 gnaps3.0 vs eL-65.0 gnaps3.0,82.94,77.0,1.0833909164098044e-117,2.0047929552819985e-113,True,True
eL-55.0 gnaps3.0 vs eL-65.0 gnaps3.6,85.38,66.99,2.3249973964253483e-119,1.8181579562579305e-105,True,True
eL-55.0 gnaps3.0 vs eL-65.0 gnaps4.2,86.47,51.74,4.324387491469379e-120,6.842272662757747e-91,True,True
eL-55.0 gnaps3.6 vs eL-55.0 gnaps4.2,1.069,1.694,0.28697737742395385,0.09257119082696151,False,False
eL-55.0 gnaps3.6 vs eL-60.0 gnaps1.8,55.98,55.66,2.640353422693106e-95,5.545164856475646e-95,True,True
eL-55.0 gnaps3.6 vs eL-60.0 gnaps2.4,59.92,37.4,3.865203973082508e-99,4.116944306293985e-73,True,True
eL-55.0 gnaps3.6 vs eL-60.0 gnaps3.0,37.58,12.11,2.278063060572644e-73,2.6104304212834556e-23,True,True
eL-55.0 gnaps3.6 vs eL-60.0 gnaps3.6,18.71,4.138,2.5802894646438717e-39,6.130154406212138e-05,True,True
eL-55.0 gnaps3.6 vs eL-60.0 gnaps4.2,38.95,2.346,2.7178844391841804e-75,0.020431902952334716,True,False
eL-55.0 gnaps3.6 vs eL-65.0 gnaps1.8,58.1,55.87,2.130896002287386e-97,3.406004580980525e-95,True,True
eL-55.0 gnaps3.6 vs eL-65.0 gnaps2.4,74.61,68.05,1.2840341332844653e-111,2.319866975927182e-106,True,True
eL-55.0 gnaps3.6 vs eL-65.0 gnaps3.0,83.12,75.97,8.130281269212176e-118,1.18563021476049e-112,True,True
eL-55.0 gnaps3.6 vs eL-65.0 gnaps3.6,85.56,65.95,1.7586204521336044e-119,1.4124656898765828e-104,True,True
eL-55.0 gnaps3.6 vs eL-65.0 gnaps4.2,86.65,50.71,3.282064416907113e-120,9.054328520745974e-90,True,True
eL-55.0 gnaps4.2 vs eL-60.0 gnaps1.8,54.91,53.97,3.20552667611772e-94,2.9818050618854405e-93,True,True
eL-55.0 gnaps4.2 vs eL-60.0 gnaps2.4,58.85,35.7,4.0264536401333435e-98,1.2397696784314636e-70,True,True
eL-55.0 gnaps4.2 vs eL-60.0 gnaps3.0,36.51,10.41,7.952702377915356e-72,5.401550691149142e-19,True,True
eL-55.0 gnaps4.2 vs eL-60.0 gnaps3.6,17.65,2.444,7.01271316848458e-37,0.015815804421852077,True,False
eL-55.0 gnaps4.2 vs eL-60.0 gnaps4.2,37.72,0.6513,1.440032754991401e-73,0.5159599867599459,True,False
eL-55.0 gnaps4.2 vs eL-65.0 gnaps1.8,57.03,54.18,2.3770020201713817e-96,1.806198094452578e-93,True,True
eL-55.0 gnaps4.2 vs eL-65.0 gnaps2.4,73.54,66.36,8.615845476340767e-111,6.27204147741133e-105,True,True
eL-55.0 gnaps4.2 vs eL-65.0 gnaps3.0,82.05,74.27,4.5196619886992674e-117,2.3444573715163007e-111,True,True
eL-55.0 gnaps4.2 vs eL-65.0 gnaps3.6,84.49,64.25,9.32356380416017e-119,4.306928688172142e-103,True,True
eL-55.0 gnaps4.2 vs eL-65.0 gnaps4.2,85.58,49.01,1.7049633223429924e-119,7.14155122003822e-88,True,True
eL-60.0 gnaps1.8 vs eL-60.0 gnaps2.4,3.937,18.26,0.00013157126850217967,2.739538025267407e-38,True,True
eL-60.0 gnaps1.8 vs eL-60.0 gnaps3.0,18.4,43.55,1.3100852649107467e-38,2.3393182524107227e-81,True,True
eL-60.0 gnaps1.8 vs eL-60.0 gnaps3.6,37.27,51.52,6.32162266202838e-73,1.1832395625594547e-90,True,True
eL-60.0 gnaps1.8 vs eL-60.0 gnaps4.2,25.62,53.31,1.0772291171064542e-53,1.4580967378483727e-92,True,True
eL-60.0 gnaps1.8 vs eL-65.0 gnaps1.8,2.118,0.2122,0.03600782759284664,0.8322710604161325,False,False
eL-60.0 gnaps1.8 vs eL-65.0 gnaps2.4,18.63,12.39,3.9198312246551496e-39,5.0896952704742335e-24,True,True
eL-60.0 gnaps1.8 vs eL-65.0 gnaps3.0,27.14,20.31,1.5802891652617149e-56,7.13227250482081e-43,True,True
eL-60.0 gnaps1.8 vs eL-65.0 gnaps3.6,29.58,10.29,7.46724246462751e-61,1.086387447168883e-18,True,True
eL-60.0 gnaps1.8 vs eL-65.0 gnaps4.2,30.67,4.954,1.0578028519790644e-62,2.137541325238854e-06,True,True
eL-60.0 gnaps2.4 vs eL-60.0 gnaps3.0,22.33,25.29,3.6375751182224773e-47,4.595027977050685e-53,True,True
eL-60.0 gnaps2.4 vs eL-60.0 gnaps3.6,41.2,33.26,2.485164779273615e-78,6.654947579749496e-67,True,True
eL-60.0 gnaps2.4 vs eL-60.0 gnaps4.2,30.16,35.05,7.642460711712575e-62,1.1655065868442044e-69,True,True
eL-60.0 gnaps2.4 vs eL-65.0 gnaps1.8,1.819,18.48,0.07112763705816616,8.604037106750486e-39,False,True
eL-60.0 gnaps2.4 vs eL-65.0 gnaps2.4,14.69,30.66,8.827677685835148e-30,1.0993636527794127e-62,True,True
eL-60.0 gnaps2.4 vs eL-65.0 gnaps3.0,23.2,38.57,6.023303010125415e-49,9.161945280314036e-75,True,True
eL-60.0 gnaps2.4 vs eL-65.0 gnaps3.6,25.64,28.55,9.869607869074957e-54,4.642456451115128e-59,True,True
eL-60.0 gnaps2.4 vs eL-65.0 gnaps4.2,26.73,13.31,8.957749738779083e-56,2.4211649541699373e-26,True,True
eL-60.0 gnaps3.0 vs eL-60.0 gnaps3.6,18.87,7.968,1.1207680388949758e-39,5.988290848633134e-13,True,True
eL-60.0 gnaps3.0 vs eL-60.0 gnaps4.2,4.398,9.76,2.1971823025611886e-05,2.3514110611300393e-17,True,True
eL-60.0 gnaps3.0 vs eL-65.0 gnaps1.8,20.52,43.77,2.492385770997575e-43,1.2389504723900272e-81,True,True
eL-60.0 gnaps3.0 vs eL-65.0 gnaps2.4,37.03,55.95,1.3998844623450472e-72,2.8300969515079577e-95,True,True
eL-60.0 gnaps3.0 vs eL-65.0 gnaps3.0,45.54,63.86,8.226481484075088e-84,9.54660297109647e-103,True,True
eL-60.0 gnaps3.0 vs eL-65.0 gnaps3.6,47.98,53.84,1.076395683577519e-86,4.0704466096099335e-93,True,True
eL-60.0 gnaps3.0 vs eL-65.0 gnaps4.2,49.06,38.6,6.268505034889317e-88,8.320798951135099e-75,True,True
eL-60.0 gnaps3.6 vs eL-60.0 gnaps4.2,17.37,1.793,3.154215785771034e-36,0.0752119362263147,True,False
eL-60.0 gnaps3.6 vs eL-65.0 gnaps1.8,39.38,51.73,6.953620980595085e-76,7.0144381565869e-91,True,True
eL-60.0 gnaps3.6 vs eL-65.0 gnaps2.4,55.89,63.91,3.251803863693352e-95,8.618276606321374e-103,True,True
eL-60.0 gnaps3.6 vs eL-65.0 gnaps3.0,64.41,71.83,3.111130431764071e-103,1.907958679216766e-109,True,True
eL-60.0 gnaps3.6 vs eL-65.0 gnaps3.6,66.84,61.81,2.43916144216903e-105,6.760991388841397e-101,True,True
eL-60.0 gnaps3.6 vs eL-65.0 gnaps4.2,67.93,46.57,2.924339206137298e-106,4.8066050459772855e-85,True,True
eL-60.0 gnaps4.2 vs eL-65.0 gnaps1.8,28.06,53.53,3.4389379778411276e-58,8.573491826634061e-93,True,True
eL-60.0 gnaps4.2 vs eL-65.0 gnaps2.4,47.11,65.71,1.108684288334801e-85,2.27676039851643e-104,True,True
eL-60.0 gnaps4.2 vs eL-65.0 gnaps3.0,56.93,73.62,2.9843326175910428e-96,7.466070729800839e-111,True,True
eL-60.0 gnaps4.2 vs eL-65.0 gnaps3.6,59.74,63.6,5.717390465520734e-99,1.6270579705985345e-102,True,True
eL-60.0 gnaps4.2 vs eL-65.0 gnaps4.2,60.99,48.36,3.8561235972494546e-100,3.932788607596359e-87,True,True
eL-65.0 gnaps1.8 vs eL-65.0 gnaps2.4,16.51,12.18,3.38786299419534e-34,1.7342430162873627e-23,True,True
eL-65.0 gnaps1.8 vs eL-65.0 gnaps3.0,25.02,20.09,1.5196469293837647e-52,2.1586456270073968e-42,True,True
eL-65.0 gnaps1.8 vs eL-65.0 gnaps3.6,27.46,10.07,4.131665929070058e-57,3.9026642553604764e-18,True,True
eL-65.0 gnaps1.8 vs eL-65.0 gnaps4.2,28.55,5.166,4.642456451115128e-59,8.398926858242814e-07,True,True
eL-65.0 gnaps2.4 vs eL-65.0 gnaps3.0,8.513,7.913,2.894186459892678e-14,8.101235290518536e-13,True,True
eL-65.0 gnaps2.4 vs eL-65.0 gnaps3.6,10.95,2.105,2.3095109638546063e-20,0.03714425226533689,True,False
eL-65.0 gnaps2.4 vs eL-65.0 gnaps4.2,12.04,17.35,3.92979705211422e-23,3.513112635322777e-36,True,True
eL-65.0 gnaps3.0 vs eL-65.0 gnaps3.6,2.437,10.02,0.016111771402912995,5.2165599837881834e-18,False,True
eL-65.0 gnaps3.0 vs eL-65.0 gnaps4.2,3.526,25.26,0.0005767891186116024,5.245974364625774e-53,False,True
eL-65.0 gnaps3.6 vs eL-65.0 gnaps4.2,1.089,15.24,0.27809407101048134,3.9413638896459853e-31,False,True
