,TB,Yan,TB real p,Yan real p,TB p_lessthan_alpha,Yan p_lessthan_alpha
eL-50.0 gnaps3.0 vs eL-60.0 gnaps3.6,16.12,25.46,2.4091057620098377e-37,5.441818027704049e-63,True,True
eL-50.0 gnaps3.0 vs eL-60.0 gnaps4.2,20.17,15.64,5.267350073365966e-49,6.390035079681706e-36,True,True
eL-50.0 gnaps3.0 vs eL-65.0 gnaps1.8,1.18,2.693,0.23948327858625215,0.007717752315030794,False,False
eL-50.0 gnaps3.0 vs eL-65.0 gnaps2.4,46.31,62.88,4.2475205687041206e-105,1.1576862263462257e-128,True,True
eL-50.0 gnaps3.0 vs eL-65.0 gnaps3.0,78.0,146.0,1.0812670143760639e-145,2.9220939220962627e-196,True,True
eL-50.0 gnaps3.0 vs eL-65.0 gnaps3.6,28.39,214.4,4.3654875697298556e-70,1.3175744813124932e-227,True,True
eL-50.0 gnaps3.0 vs eL-65.0 gnaps4.2,17.05,200.7,4.407765056308824e-40,3.282542816840322e-222,True,True
eL-50.0 gnaps3.6 vs eL-50.0 gnaps4.2,1.716,1.952,0.08780062963451818,0.05241559950804218,False,False
eL-50.0 gnaps3.6 vs eL-55.0 gnaps1.8,7.195,5.102,1.4240150886904403e-11,8.144408430811194e-07,True,True
eL-50.0 gnaps3.6 vs eL-55.0 gnaps2.4,2.707,0.2108,0.007411514052071081,0.8332704416745875,False,False
eL-50.0 gnaps3.6 vs eL-55.0 gnaps3.0,1.065,4.098,0.28823460867721507,6.179770982266342e-05,False,True
eL-50.0 gnaps3.6 vs eL-55.0 gnaps3.6,4.02,7.574,8.401009181755306e-05,1.5622408783734246e-12,True,True
eL-50.0 gnaps3.6 vs eL-55.0 gnaps4.2,6.387,10.1,1.281491366654705e-09,1.874967211301073e-19,True,True
eL-50.0 gnaps3.6 vs eL-60.0 gnaps1.8,4.712,7.079,4.7445221041849265e-06,2.7671990747211222e-11,True,True
eL-50.0 gnaps3.6 vs eL-60.0 gnaps2.4,0.5229,15.94,0.6016562965052367,8.221630797850515e-37,False,True
