,TB,Yan,TB real p,Yan real p,TB p_lessthan_alpha,Yan p_lessthan_alpha
eL-55.0 gnaps2.4 vs eL-55.0 gnaps4.2,54.15,47.03,1.940082364152168e-93,1.3764916815129767e-85,True,True
eL-55.0 gnaps2.4 vs eL-60.0 gnaps1.8,44.0,65.52,6.393787990327113e-82,3.326338345441109e-104,True,True
eL-55.0 gnaps2.4 vs eL-60.0 gnaps2.4,40.1,53.86,7.294513297463312e-77,3.8799705301859125e-93,True,True
eL-55.0 gnaps2.4 vs eL-60.0 gnaps3.0,23.12,25.69,8.748416711384509e-49,7.931681788458088e-54,True,True
eL-55.0 gnaps2.4 vs eL-60.0 gnaps3.6,0.3321,3.003,0.7403288131073219,0.0031864935778779845,False,False
eL-55.0 gnaps2.4 vs eL-60.0 gnaps4.2,56.09,10.94,2.0477559707089216e-95,2.4485514897692153e-20,True,True
eL-55.0 gnaps2.4 vs eL-65.0 gnaps1.8,46.83,67.47,2.3676016742979377e-85,7.129918346329754e-106,True,True
eL-55.0 gnaps2.4 vs eL-65.0 gnaps2.4,44.62,65.13,1.0908790621278894e-82,7.266750036778111e-104,True,True
eL-55.0 gnaps2.4 vs eL-65.0 gnaps3.0,42.19,62.51,1.2670676359466329e-79,1.555559838551364e-101,True,True
eL-55.0 gnaps2.4 vs eL-65.0 gnaps3.6,38.76,53.12,4.98388928245163e-75,2.3102749195270324e-92,True,True
eL-55.0 gnaps2.4 vs eL-65.0 gnaps4.2,33.4,39.31,4.0120405394615826e-67,8.673915718108668e-76,True,True
eL-55.0 gnaps3.0 vs eL-55.0 gnaps3.6,15.54,15.27,7.322984200843421e-32,3.329436772604747e-31,True,True
eL-55.0 gnaps3.0 vs eL-55.0 gnaps4.2,27.05,25.12,2.309164037558073e-56,9.74829108516568e-53,True,True
eL-55.0 gnaps3.0 vs eL-60.0 gnaps1.8,71.1,87.43,7.313980123971055e-109,9.997026520430195e-121,True,True
eL-55.0 gnaps3.0 vs eL-60.0 gnaps2.4,67.2,75.77,1.2062312793240948e-105,1.6787527620374605e-112,True,True
eL-55.0 gnaps3.0 vs eL-60.0 gnaps3.0,50.21,47.6,3.226819171651981e-89,2.9671305924304953e-86,True,True
eL-55.0 gnaps3.0 vs eL-60.0 gnaps3.6,27.43,24.91,4.683207867293418e-57,2.479797403639478e-52,True,True
eL-55.0 gnaps3.0 vs eL-60.0 gnaps4.2,24.8,10.97,4.052257604408465e-52,2.0546535542442296e-20,True,True
eL-55.0 gnaps3.0 vs eL-65.0 gnaps1.8,73.93,89.38,4.291911978288312e-111,5.350475048698599e-122,True,True
eL-55.0 gnaps3.0 vs eL-65.0 gnaps2.4,71.72,87.04,2.33423855792904e-109,1.8090507519739976e-120,True,True
eL-55.0 gnaps3.0 vs eL-65.0 gnaps3.0,69.29,84.42,2.1676535629406973e-107,1.0405926883789876e-118,True,True
eL-55.0 gnaps3.0 vs eL-65.0 gnaps3.6,65.85,75.03,1.722990939445161e-104,6.1256575802784195e-112,True,True
eL-55.0 gnaps3.0 vs eL-65.0 gnaps4.2,60.49,61.22,1.1268585987048046e-99,2.3610870838197764e-100,True,True
eL-55.0 gnaps3.6 vs eL-55.0 gnaps4.2,11.51,9.852,8.724102054700969e-22,1.3810575234044152e-17,True,True
eL-55.0 gnaps3.6 vs eL-60.0 gnaps1.8,86.63,102.7,3.384105160338342e-120,5.027764395837671e-130,True,True
eL-55.0 gnaps3.6 vs eL-60.0 gnaps2.4,82.74,91.04,1.4915014969520681e-117,4.6447891938927455e-123,True,True
eL-55.0 gnaps3.6 vs eL-60.0 gnaps3.0,65.75,62.87,2.1023807744522327e-104,7.35024489757684e-102,True,True
eL-55.0 gnaps3.6 vs eL-60.0 gnaps3.6,42.96,40.18,1.304315649089311e-80,5.6900175030616785e-77,True,True
