,TB,Yan,TB real p,Yan real p,TB p_lessthan_alpha,Yan p_lessthan_alpha
eL-55.0 gnaps2.4 vs eL-55.0 gnaps4.2,80.48,69.95,5.825187416480643e-116,6.239153621828886e-108,True,True
eL-55.0 gnaps2.4 vs eL-60.0 gnaps1.8,66.31,98.29,6.923014742486029e-105,1.7414143425251394e-127,True,True
eL-55.0 gnaps2.4 vs eL-60.0 gnaps2.4,60.51,80.95,1.0793743155362724e-99,2.696439344754362e-116,True,True
eL-55.0 gnaps2.4 vs eL-60.0 gnaps3.0,35.24,39.0,6.033283298450729e-70,2.317984408733877e-75,True,True
eL-55.0 gnaps2.4 vs eL-60.0 gnaps3.6,0.997,4.844,0.3205481937991879,3.4373789763394606e-06,False,True
eL-55.0 gnaps2.4 vs eL-60.0 gnaps4.2,60.2,16.19,2.1068244752873264e-99,1.9731560777302375e-33,True,True
eL-55.0 gnaps2.4 vs eL-65.0 gnaps1.8,70.57,101.2,1.9562485855944977e-108,3.573013149935888e-129,True,True
eL-55.0 gnaps2.4 vs eL-65.0 gnaps2.4,67.24,97.7,1.1156989850349193e-105,3.881845680551287e-127,True,True
eL-55.0 gnaps2.4 vs eL-65.0 gnaps3.0,63.59,93.79,1.6608355811142977e-102,8.895069288328785e-125,True,True
eL-55.0 gnaps2.4 vs eL-65.0 gnaps3.6,58.44,79.83,9.987311109835332e-98,1.7023333084106435e-115,True,True
eL-55.0 gnaps2.4 vs eL-65.0 gnaps4.2,50.5,59.36,1.5419230081517837e-89,1.3113130485836055e-98,True,True
eL-55.0 gnaps3.0 vs eL-55.0 gnaps3.6,23.08,22.72,1.0546374968121359e-48,5.721000979727468e-48,True,True
eL-55.0 gnaps3.0 vs eL-55.0 gnaps4.2,40.2,37.37,5.347753043825945e-77,4.544740914943596e-73,True,True
eL-55.0 gnaps3.0 vs eL-60.0 gnaps1.8,106.6,130.9,3.488124024269409e-132,4.152094224747364e-144,True,True
eL-55.0 gnaps3.0 vs eL-60.0 gnaps2.4,100.8,113.5,6.056494371184773e-129,8.04784813895343e-136,True,True
eL-55.0 gnaps3.0 vs eL-60.0 gnaps3.0,75.51,71.57,2.6418326302908983e-112,3.074490296297232e-109,True,True
eL-55.0 gnaps3.0 vs eL-60.0 gnaps3.6,41.27,37.41,2.0095263041372082e-78,3.983546845327905e-73,True,True
eL-55.0 gnaps3.0 vs eL-60.0 gnaps4.2,106.7,16.39,3.0779251424437217e-132,6.550865011394208e-34,True,True
eL-55.0 gnaps3.0 vs eL-65.0 gnaps1.8,110.8,133.8,2.0061771584995496e-134,2.2044488692294105e-145,True,True
eL-55.0 gnaps3.0 vs eL-65.0 gnaps2.4,107.5,130.3,1.1359765007731094e-132,7.682871826769524e-144,True,True
eL-55.0 gnaps3.0 vs eL-65.0 gnaps3.0,103.9,126.4,1.0683983835221116e-130,4.495555121447395e-142,True,True
eL-55.0 gnaps3.0 vs eL-65.0 gnaps3.6,98.72,112.4,9.737643552622515e-128,2.956198659246412e-135,True,True
eL-55.0 gnaps3.0 vs eL-65.0 gnaps4.2,90.77,91.93,6.891689187595704e-123,1.2751988347931878e-123,True,True
eL-55.0 gnaps3.6 vs eL-55.0 gnaps4.2,17.12,14.66,1.2172973080708494e-35,1.0467756467881094e-29,True,True
eL-55.0 gnaps3.6 vs eL-60.0 gnaps1.8,129.7,153.6,1.4255882535567911e-143,2.0167034970991496e-153,True,True
eL-55.0 gnaps3.6 vs eL-60.0 gnaps2.4,123.9,136.2,6.517401380008644e-141,2.035050047295643e-146,True,True
eL-55.0 gnaps3.6 vs eL-60.0 gnaps3.0,98.6,94.29,1.1449770353344491e-127,4.38605237265022e-125,True,True
eL-55.0 gnaps3.6 vs eL-60.0 gnaps3.6,64.35,60.13,3.5143756941985504e-103,2.4513623231672492e-99,True,True
eL-55.0 gnaps3.6 vs eL-60.0 gnaps4.2,133.3,39.1,3.640560196404e-145,1.6869108940932044e-75,True,True
eL-55.0 gnaps3.6 vs eL-65.0 gnaps1.8,133.9,156.5,1.9944476905645313e-145,1.6371931427826935e-154,True,True
eL-55.0 gnaps3.6 vs eL-65.0 gnaps2.4,130.6,153.0,5.646044656608362e-144,3.4104517471341906e-153,True,True
eL-55.0 gnaps3.6 vs eL-65.0 gnaps3.0,126.9,149.1,2.649946228062641e-142,1.0910160178311474e-151,True,True
eL-55.0 gnaps3.6 vs eL-65.0 gnaps3.6,121.8,135.1,6.419409229337799e-140,6.033578869608949e-146,True,True
eL-55.0 gnaps3.6 vs eL-65.0 gnaps4.2,113.9,114.6,5.029611590421737e-136,2.2180136306476814e-136,True,True
eL-55.0 gnaps4.2 vs eL-60.0 gnaps1.8,146.8,168.2,8.785141958850606e-151,1.019661819428699e-158,True,True
eL-55.0 gnaps4.2 vs eL-60.0 gnaps2.4,141.0,150.9,1.958750343889702e-148,2.179874341650102e-152,True,True
eL-55.0 gnaps4.2 vs eL-60.0 gnaps3.0,115.7,108.9,6.187113019146648e-137,2.0199187852753837e-133,True,True
eL-55.0 gnaps4.2 vs eL-60.0 gnaps3.6,81.47,74.79,1.1557126425015538e-116,9.34572136590217e-112,True,True
eL-55.0 gnaps4.2 vs eL-60.0 gnaps4.2,153.0,53.76,3.4104517471341906e-153,4.931365023650581e-93,True,True
eL-55.0 gnaps4.2 vs eL-65.0 gnaps1.8,151.0,171.2,1.994426512236426e-152,9.478921340697134e-160,True,True
eL-55.0 gnaps4.2 vs eL-65.0 gnaps2.4,147.7,167.6,3.8690168377385164e-151,1.6480932956553303e-158,True,True
eL-55.0 gnaps4.2 vs eL-65.0 gnaps3.0,144.1,163.7,1.0599297389608272e-149,3.896651770415623e-157,True,True
eL-55.0 gnaps4.2 vs eL-65.0 gnaps3.6,138.9,149.8,1.4647955534688805e-147,5.819102635541662e-152,True,True
eL-55.0 gnaps4.2 vs eL-65.0 gnaps4.2,131.0,129.3,3.748363898249633e-144,2.15602799186032e-143,True,True
eL-60.0 gnaps1.8 vs eL-60.0 gnaps2.4,5.792,17.35,4.659838071569381e-08,3.513112635322777e-36,True,True
eL-60.0 gnaps1.8 vs eL-60.0 gnaps3.0,31.07,59.29,2.281828014822178e-63,1.5287944766231153e-98,True,True
eL-60.0 gnaps1.8 vs eL-60.0 gnaps3.6,65.31,93.45,5.0637200403018184e-104,1.4416806638734363e-124,True,True
eL-60.0 gnaps1.8 vs eL-60.0 gnaps4.2,16.29,114.5,1.1362800867137404e-33,2.4924673230751115e-136,True,True
eL-60.0 gnaps1.8 vs eL-65.0 gnaps1.8,4.264,2.923,3.748121433475619e-05,0.004066261400637,True,False
eL-60.0 gnaps1.8 vs eL-65.0 gnaps2.4,0.9376,0.5961,0.35012437425799336,0.5521065895904307,False,False
eL-60.0 gnaps1.8 vs eL-65.0 gnaps3.0,2.715,4.501,0.007493858046533093,1.4465629461192035e-05,False,True
eL-60.0 gnaps1.8 vs eL-65.0 gnaps3.6,7.863,18.47,1.0656182067803817e-12,9.067926374261043e-39,True,True
eL-60.0 gnaps1.8 vs eL-65.0 gnaps4.2,15.81,38.93,1.6230048156518085e-32,2.8966765088419293e-75,True,True
eL-60.0 gnaps2.4 vs eL-60.0 gnaps3.0,25.27,41.95,5.019285106051912e-53,2.5926202389330708e-79,True,True
eL-60.0 gnaps2.4 vs eL-60.0 gnaps3.6,59.52,76.1,9.239601897917196e-99,9.461898991438513e-113,True,True
eL-60.0 gnaps2.4 vs eL-60.0 gnaps4.2,9.604,97.13,5.786951064530914e-17,8.459019938290747e-127,True,True
eL-60.0 gnaps2.4 vs eL-65.0 gnaps1.8,10.06,20.27,4.13591957354064e-18,8.719192469240758e-43,True,True
eL-60.0 gnaps2.4 vs eL-65.0 gnaps2.4,6.73,16.75,4.4251290681577484e-10,9.106167402462912e-35,True,True
eL-60.0 gnaps2.4 vs eL-65.0 gnaps3.0,3.078,12.85,0.002524479624769673,3.491702111924062e-25,False,True
eL-60.0 gnaps2.4 vs eL-65.0 gnaps3.6,2.071,1.119,0.04026342621108195,0.26512722741317474,False,False
eL-60.0 gnaps2.4 vs eL-65.0 gnaps4.2,10.02,21.59,5.2165599837881834e-18,1.280976878440363e-45,True,True
eL-60.0 gnaps3.0 vs eL-60.0 gnaps3.6,34.24,34.16,1.994025064646513e-68,2.6472093733765006e-68,True,True
eL-60.0 gnaps3.0 vs eL-60.0 gnaps4.2,19.55,55.19,3.3572030731812084e-41,1.660795723259808e-94,True,True
eL-60.0 gnaps3.0 vs eL-65.0 gnaps1.8,35.33,62.22,4.421112609286009e-70,2.853903385241707e-101,True,True
eL-60.0 gnaps3.0 vs eL-65.0 gnaps2.4,32.0,58.7,6.828749479215096e-65,5.610035745111301e-98,True,True
eL-60.0 gnaps3.0 vs eL-65.0 gnaps3.0,28.35,54.79,1.0481420230844485e-58,4.25304840176146e-94,True,True
eL-60.0 gnaps3.0 vs eL-65.0 gnaps3.6,23.2,40.83,6.023303010125415e-49,7.678146848009984e-78,True,True
eL-60.0 gnaps3.0 vs eL-65.0 gnaps4.2,15.26,20.36,3.5220185342722825e-31,5.549975412522474e-43,True,True
eL-60.0 gnaps3.6 vs eL-60.0 gnaps4.2,59.05,21.03,2.590557086416532e-98,1.9850118474390491e-44,True,True
eL-60.0 gnaps3.6 vs eL-65.0 gnaps1.8,69.57,96.37,1.2762611390141665e-107,2.4064474237504945e-126,True,True
eL-60.0 gnaps3.6 vs eL-65.0 gnaps2.4,66.25,92.85,7.79469341470095e-105,3.394487739146588e-124,True,True
eL-60.0 gnaps3.6 vs eL-65.0 gnaps3.0,62.6,88.95,1.2892187829296955e-101,1.014961481495008e-121,True,True
eL-60.0 gnaps3.6 vs eL-65.0 gnaps3.6,57.45,74.99,9.177633074808782e-97,6.571893442635668e-112,True,True
eL-60.0 gnaps3.6 vs eL-65.0 gnaps4.2,49.5,54.52,2.000082865213662e-88,8.052006667400337e-94,True,True
eL-60.0 gnaps4.2 vs eL-65.0 gnaps1.8,21.2,117.4,8.602801059691449e-45,8.803455520400293e-138,True,True
eL-60.0 gnaps4.2 vs eL-65.0 gnaps2.4,17.37,113.9,3.154215785771034e-36,5.029611590421737e-136,True,True
eL-60.0 gnaps4.2 vs eL-65.0 gnaps3.0,13.15,110.0,6.117247432382002e-26,5.279636536838791e-134,True,True
