,TB,Yan,TB real p,Yan real p,TB p_lessthan_alpha,Yan p_lessthan_alpha
eL-55.0 gnaps2.4 vs eL-55.0 gnaps4.2,37.41,43.81,3.983546845327905e-73,1.1040666396944733e-81,True,True
eL-55.0 gnaps2.4 vs eL-60.0 gnaps1.8,19.73,27.97,1.3394675149757714e-41,4.9812021384375414e-58,True,True
eL-55.0 gnaps2.4 vs eL-60.0 gnaps2.4,8.749,15.57,7.658265674225876e-15,6.191771564565557e-32,True,True
eL-55.0 gnaps2.4 vs eL-60.0 gnaps3.0,9.036,3.181,1.502069157080395e-15,0.0018211178896174263,True,False
eL-55.0 gnaps2.4 vs eL-60.0 gnaps3.6,20.15,6.227,1.5949554379231805e-42,5.617752690125262e-09,True,True
eL-55.0 gnaps2.4 vs eL-60.0 gnaps4.2,17.43,14.98,2.2835731833169998e-36,1.707403977833563e-30,True,True
eL-55.0 gnaps2.4 vs eL-65.0 gnaps1.8,25.35,32.27,3.526517728370093e-53,2.5018904798970584e-65,True,True
eL-55.0 gnaps2.4 vs eL-65.0 gnaps2.4,13.0,21.27,1.460588521400816e-25,6.103469114537144e-45,True,True
eL-55.0 gnaps2.4 vs eL-65.0 gnaps3.0,2.014,10.29,0.04599667989235496,1.086387447168883e-18,False,True
eL-55.0 gnaps2.4 vs eL-65.0 gnaps3.6,9.612,7.97,5.5260815517635616e-17,5.922765190762574e-13,True,True
eL-55.0 gnaps2.4 vs eL-65.0 gnaps4.2,26.65,25.33,1.2593320397667414e-55,3.851591994750839e-53,True,True
eL-55.0 gnaps3.0 vs eL-55.0 gnaps3.6,11.93,15.06,7.475608573557789e-23,1.0867332637172521e-30,True,True
eL-55.0 gnaps3.0 vs eL-55.0 gnaps4.2,24.23,28.58,5.280595812380227e-51,4.110081212357246e-59,True,True
eL-55.0 gnaps3.0 vs eL-60.0 gnaps1.8,32.91,43.2,2.3756420904480813e-66,6.467565462264269e-81,True,True
eL-55.0 gnaps3.0 vs eL-60.0 gnaps2.4,21.93,30.8,2.472943673686713e-46,6.415060613489821e-63,True,True
eL-55.0 gnaps3.0 vs eL-60.0 gnaps3.0,4.146,18.41,5.943409964423145e-05,1.2429565832220422e-38,True,True
eL-55.0 gnaps3.0 vs eL-60.0 gnaps3.6,6.972,9.003,1.2614686597825806e-10,1.8126099452452104e-15,True,True
eL-55.0 gnaps3.0 vs eL-60.0 gnaps4.2,32.64,0.2538,6.38620956224854e-66,0.800036205286045,True,False
eL-55.0 gnaps3.0 vs eL-65.0 gnaps1.8,38.53,47.5,1.0418219782975862e-74,3.879192790608971e-86,True,True
eL-55.0 gnaps3.0 vs eL-65.0 gnaps2.4,26.18,36.5,9.450555922598194e-55,8.22448818302636e-72,True,True
eL-55.0 gnaps3.0 vs eL-65.0 gnaps3.0,15.2,25.52,4.936382712084454e-31,1.6697208960446582e-53,True,True
eL-55.0 gnaps3.0 vs eL-65.0 gnaps3.6,3.571,7.26,0.000493389085351237,2.7637653404536685e-11,False,True
eL-55.0 gnaps3.0 vs eL-65.0 gnaps4.2,13.47,10.1,9.598377221084026e-27,3.2787632121366572e-18,True,True
eL-55.0 gnaps3.6 vs eL-55.0 gnaps4.2,12.3,13.52,8.605863396512122e-24,7.190826174089216e-27,True,True
eL-55.0 gnaps3.6 vs eL-60.0 gnaps1.8,44.84,58.26,5.854718058474424e-83,1.4909536800535869e-97,True,True
eL-55.0 gnaps3.6 vs eL-60.0 gnaps2.4,33.86,45.86,7.696637763091338e-68,3.383923416537817e-84,True,True
eL-55.0 gnaps3.6 vs eL-60.0 gnaps3.0,16.08,33.47,3.625479271971804e-33,3.117072702882367e-67,True,True
eL-55.0 gnaps3.6 vs eL-60.0 gnaps3.6,4.958,24.06,2.1006686316755336e-06,1.1440113645184156e-50,True,True
eL-55.0 gnaps3.6 vs eL-60.0 gnaps4.2,46.4,15.31,7.651333542477427e-85,2.659079578064065e-31,True,True
eL-55.0 gnaps3.6 vs eL-65.0 gnaps1.8,50.46,62.56,1.7068688010162355e-89,1.4013997295365832e-101,True,True
eL-55.0 gnaps3.6 vs eL-65.0 gnaps2.4,38.11,51.56,4.0428667214586866e-74,1.070914849860262e-90,True,True
